colName	rowName	seraName	virusName	seraYear	virusYear	titer	source
A/Arizona/14/78	A/Arizona/14/78	A/Arizona/14/1978	A/Arizona/14/1978	1978	1978	640	Webster1979
A/Arizona/14/78	A/Brazil/11/78	A/Arizona/14/1978	A/Brazil/11/1978	1978	1978	160	Webster1979
A/Arizona/14/78	A/Lackland/3/78	A/Arizona/14/1978	A/Lackland/3/1978	1978	1978	160	Webster1979
A/Arizona/14/78	A/USSR/90/77	A/Arizona/14/1978	A/USSR/90/1977	1978	1977	160	Webster1979
A/Arizona/14/78	A/Arizona/14/78	A/Arizona/14/1978	A/Arizona/14/1978	1978	1978	2560	Nakajima1981
A/Arizona/14/78	A/Brazil/11/78	A/Arizona/14/1978	A/Brazil/11/1978	1978	1978	160	Nakajima1981
A/Arizona/14/78	A/California/45/78	A/Arizona/14/1978	A/California/45/1978	1978	1978	80	Nakajima1981
A/Arizona/14/78	A/Lackland/3/78	A/Arizona/14/1978	A/Lackland/3/1978	1978	1978	320	Nakajima1981
A/Arizona/14/78	A/Lackland/7/78	A/Arizona/14/1978	A/Lackland/7/1978	1978	1978	640	Nakajima1981
A/Arizona/14/78	A/USSR/90/77	A/Arizona/14/1978	A/USSR/90/1977	1978	1978	320	Nakajima1981
A/Bay/07/95	A/Bayern/07/95	A/Bayern/7/1995	A/Bayern/7/1995	1995	1995	1280	Daum2002
A/Bay/7/95	A/Bayern/7/95	A/Bayern/7/1995	A/Bayern/7/1995	1995	1995	2560	Hay2001
A/Bay/7/95	A/Bayern/7/95	A/Bayern/7/1995	A/Bayern/7/1995	1995	1995	2560	MRC2002
A/Bay/7/95	A/Bayern/7/95	A/Bayern/7/1995	A/Bayern/7/1995	1995	1995	1280	MRC2003
A/Bay/07/95	A/Beijing/262/95	A/Bayern/7/1995	A/Beijing/262/1995	1995	1995	20	Daum2002
A/Bay/7/95	A/Beijing/262/96	A/Bayern/7/1995	A/Beijing/262/1995	1995	1995	40	Hay2001
A/Bay/7/95	A/Beijing/262/95	A/Bayern/7/1995	A/Beijing/262/1995	1995	1995	80	MRC2002
A/Bay/7/95	A/Beijing/262/95	A/Bayern/7/1995	A/Beijing/262/1995	1995	1995	80	MRC2003
A/Bay/7/95	A/Brazil/11/78	A/Bayern/7/1995	A/Brazil/11/1978	1995	1978	<40	Hay2001
A/Bay/7/95	A/Chile/1/83	A/Bayern/7/1995	A/Chile/1/1983	1995	1983	<40	Hay2001
A/Bay/7/95	A/Denmark/56/03	A/Bayern/7/1995	A/Denmark/56/2003	1995	2003	<40	MRC2003
A/Bay/7/95	A/Egypt/96/02	A/Bayern/7/1995	A/Egypt/96/2002	1995	2002	<40	MRC2002
A/Bay/7/95	A/Egypt/96/02	A/Bayern/7/1995	A/Egypt/96/2002	1995	2002	<40	MRC2003
A/Bay/7/95	A/England/2/02	A/Bayern/7/1995	A/England/2/2002	1995	2002	<40	MRC2002
A/Bay/7/95	A/HongKong/1252/00	A/Bayern/7/1995	A/HongKong/1252/2000	1995	2000	<40	MRC2002
A/Bay/7/95	A/Johannesburg/5/02	A/Bayern/7/1995	A/Johannesburg/5/2002	1995	2002	40	MRC2002
A/Bay/07/95	A/Johannesburg/82/96	A/Bayern/7/1995	A/Johannesburg/82/1996	1995	1996	1280	Daum2002
A/Bay/7/95	A/Latvia/686/02	A/Bayern/7/1995	A/Latvia/686/2002	1995	2002	<40	MRC2002
A/Bay/7/95	A/Madagascar/57794/00	A/Bayern/7/1995	A/Madagascar/57794/2000	1995	2000	40	MRC2002
A/Bay/7/95	A/Madagascar/57794/00	A/Bayern/7/1995	A/Madagascar/57794/2000	1995	2000	40	MRC2003
A/Bay/07/95	A/NewCaledonia/20/99	A/Bayern/7/1995	A/NewCaledonia/20/1999	1995	1999	10	Daum2002
A/Bay/7/95	A/NewCaledonia/20/99	A/Bayern/7/1995	A/NewCaledonia/20/1999	1995	1999	<40	Hay2001
A/Bay/7/95	A/NewCaledonia/20/99	A/Bayern/7/1995	A/NewCaledonia/20/1999	1995	1999	40	MRC2002
A/Bay/7/95	A/NewCaledonia/20/99	A/Bayern/7/1995	A/NewCaledonia/20/1999	1995	1999	40	MRC2003
A/Bay/07/95	A/Peru/1621/99	A/Bayern/7/1995	A/Peru/1621/1999	1995	1999	<10	Daum2002
A/Bay/07/95	A/Peru/1798/99	A/Bayern/7/1995	A/Peru/1798/1999	1995	1999	<10	Daum2002
A/Bay/7/95	A/RheinlandPfalz/34/03	A/Bayern/7/1995	A/RheinlandPfalz/34/2003	1995	2003	<40	MRC2003
A/Bay/7/95	A/Singapore/6/86	A/Bayern/7/1995	A/Singapore/6/1986	1995	1986	1280	Hay2001
A/Bay/7/95	A/Stockholm/13/02	A/Bayern/7/1995	A/Stockholm/13/2002	1995	2002	40	MRC2002
A/Bay/7/95	A/StPetersburg/49/03	A/Bayern/7/1995	A/StPetersburg/49/2003	1995	2003	40	MRC2003
A/Bay/7/95	A/Switzerland/3100/02	A/Bayern/7/1995	A/Switzerland/3100/2002	1995	2002	40	MRC2002
A/Bay/7/95	A/Taiwan/1/86	A/Bayern/7/1995	A/Taiwan/1/1986	1995	1986	1280	Hay2001
A/Bay/7/95	A/Texas/36/91	A/Bayern/7/1995	A/Texas/36/1991	1995	1991	1280	Hay2001
A/Bay/7/95	A/USSR/90/77	A/Bayern/7/1995	A/USSR/90/1977	1995	1977	<40	Hay2001
A/Beij/262/96	A/Bangkok/1544/2004	A/Beijing/262/1995	A/Bangkok/1544/2004	1995	2004	160	MRC2005Feb
A/Beij/262/95	A/Bayern/07/95	A/Beijing/262/1995	A/Bayern/7/1995	1995	1995	40	Daum2002
A/Beij/262/95	A/Bayern/7/95	A/Beijing/262/1995	A/Bayern/7/1995	1995	1995	320	MRC2002
A/Beij/262/95	A/Bayern/7/95	A/Beijing/262/1995	A/Bayern/7/1995	1995	1995	320	MRC2003
A/Beij/262/96	A/Bayern/7/95	A/Beijing/262/1995	A/Bayern/7/1995	1995	1995	80	Hay2001
A/Beij/262/95	A/Beijing/262/95	A/Beijing/262/1995	A/Beijing/262/1995	1995	1995	640	Daum2002
A/Beij/262/95	A/Beijing/262/95	A/Beijing/262/1995	A/Beijing/262/1995	1995	1995	2560	McDonald2007
A/Beij/262/95	A/Beijing/262/95	A/Beijing/262/1995	A/Beijing/262/1995	1995	1995	2560	MRC2002
A/Beij/262/95	A/Beijing/262/95	A/Beijing/262/1995	A/Beijing/262/1995	1995	1995	2560	MRC2003
A/Beij/262/95	A/Beijing/262/95	A/Beijing/262/1995	A/Beijing/262/1995	1995	1995	640	MRC2004
A/Beij/262/96	A/Beijing/262/96	A/Beijing/262/1995	A/Beijing/262/1995	1995	1995	640	Hay2001
A/Beij/262/96	A/Beijing/262/1996	A/Beijing/262/1995	A/Beijing/262/1995	1995	1995	640	MRC2005Feb
A/Beij/262/96	A/Beijing/262/96	A/Beijing/262/1995	A/Beijing/262/1995	1995	1995	1280	MRC2005Sep
A/Beij/262/96	A/Beijing/262/96	A/Beijing/262/1995	A/Beijing/262/1995	1995	1995	1280	MRC2006Mar
A/Beij/262/96	A/Beijing/262/96	A/Beijing/262/1995	A/Beijing/262/1995	1995	1995	1280	MRC2006Sep
A/Beij/262/96	A/Brazil/11/78	A/Beijing/262/1995	A/Brazil/11/1978	1995	1978	<40	Hay2001
A/Beij/262/96	A/Chile/1/83	A/Beijing/262/1995	A/Chile/1/1983	1995	1983	<40	Hay2001
A/Beij/262/95	A/Dakar/88/03	A/Beijing/262/1995	A/Dakar/88/2003	1995	2003	160	MRC2004
A/Beij/262/96	A/Denmark/22/2005	A/Beijing/262/1995	A/Denmark/22/2005	1995	2005	320	MRC2005Sep
