colName	rowName	seraName	virusName	seraYear	virusYear	titer	source
B/BJ/1987	B/AnnArbor/1/1986	B/Beijing/1/1987	B/AnnArbor/1/1986	1987	1986	40	Rota1990
B/BJ/1987	B/Beijing/1/1987	B/Beijing/1/1987	B/Beijing/1/1987	1987	1987	80	Rota1990
B/BJ/1987	B/Victoria/2/1987	B/Beijing/1/1987	B/Victoria/2/1987	1987	1987	40	Rota1990
B/BJ/1987	B/Aichi/5/1988	B/Beijing/1/1987	B/Aichi/5/1988	1987	1988	160	Rota1990
B/BJ/1987	B/Texas/37/1988	B/Beijing/1/1987	B/Texas/37/1988	1987	1988	80	Rota1990
B/BJ/1987	B/Ohio/10/1988	B/Beijing/1/1987	B/Ohio/10/1988	1987	1988	20	Rota1990
B/BJ/1987	B/Chengdu/54/1988	B/Beijing/1/1987	B/Chengdu/54/1988	1987	1988	80	Rota1990
B/Aichi/5/1988	B/Aichi/5/1988	B/Aichi/5/1988	B/Aichi/5/1988	1988	1988	80	Nerome1998
B/Aichi/5/1988	B/Osaka/c19/1993	B/Aichi/5/1988	B/Osaka/c19/1993	1988	1993	40	Nerome1998
B/Aichi/5/1988	B/Guangdong/5/1994	B/Aichi/5/1988	B/Guangdong/5/1994	1988	1994	10	Nerome1998
B/Aichi/5/1988	B/Kagoshima/15/1994	B/Aichi/5/1988	B/Kagoshima/15/1994	1988	1994	10	Nerome1998
B/Aichi/5/1988	B/Osaka/491/1997	B/Aichi/5/1988	B/Osaka/491/1997	1988	1997	<10	Nerome1998
B/Osaka/c19/1993	B/Aichi/5/1988	B/Osaka/c19/1993	B/Aichi/5/1988	1993	1988	320	Nerome1998
B/Osaka/c19/1993	B/Osaka/c19/1993	B/Osaka/c19/1993	B/Osaka/c19/1993	1993	1993	160	Nerome1998
B/Osaka/c19/1993	B/Guangdong/5/1994	B/Osaka/c19/1993	B/Guangdong/5/1994	1993	1994	40	Nerome1998
B/Osaka/c19/1993	B/Kagoshima/15/1994	B/Osaka/c19/1993	B/Kagoshima/15/1994	1993	1994	160	Nerome1998
B/Osaka/c19/1993	B/Osaka/491/1997	B/Osaka/c19/1993	B/Osaka/491/1997	1993	1997	10	Nerome1998
B/Guangdong/5/1994	B/Aichi/5/1988	B/Guangdong/5/1994	B/Aichi/5/1988	1994	1988	160	Nerome1998
B/Guangdong/5/1994	B/Osaka/c19/1993	B/Guangdong/5/1994	B/Osaka/c19/1993	1994	1993	160	Nerome1998
B/Guangdong/5/1994	B/Guangdong/5/1994	B/Guangdong/5/1994	B/Guangdong/5/1994	1994	1994	160	Nerome1998
B/Guangdong/5/1994	B/Kagoshima/15/1994	B/Guangdong/5/1994	B/Kagoshima/15/1994	1994	1994	320	Nerome1998
B/Guangdong/5/1994	B/Osaka/491/1997	B/Guangdong/5/1994	B/Osaka/491/1997	1994	1997	40	Nerome1998
B/Shandong/7/1997	B/Victoria/2/1987	B/Shandong/7/1997	B/Victoria/2/1987	1997	1987	160	Hay2001
B/Shan/7/97	B/Shandong/7/1997	B/Shandong/7/1997	B/Shandong/7/1997	1997	1997	640	MRC2003
B/Shan/7/97	B/Shandong/7/1997	B/Shandong/7/1997	B/Shandong/7/1997	1997	1997	160	MRC2004
B/Shan/7/97	B/Shandong/7/1997	B/Shandong/7/1997	B/Shandong/7/1997	1997	1997	320	MRC2005Feb1
B/Shan/7/97	B/Shandong/7/1997	B/Shandong/7/1997	B/Shandong/7/1997	1997	1997	320	MRC2005Feb2
B/Shan/7/97	B/Shandong/7/1997	B/Shandong/7/1997	B/Shandong/7/1997	1997	1997	320	MRC2005Feb3
B/Shan/7/97	B/Shandong/7/1997	B/Shandong/7/1997	B/Shandong/7/1997	1997	1997	320	MRC2005Feb4
B/Shan/7/97	B/Shandong/7/1997	B/Shandong/7/1997	B/Shandong/7/1997	1997	1997	640	MRC2005Feb5
B/Shan/7/97	B/Shandong/7/1997	B/Shandong/7/1997	B/Shandong/7/1997	1997	1997	320	MRC2005Sep1
