colName	rowName	seraName	virusName	seraYear	virusYear	titer	source
B/YM/1988	B/Shanghai/12/1987	B/Yamagata/16/1988	B/Shanghai/12/1987	1988	1987	640	Rota1990
B/Yamagata/16/1988	B/Yamagata/16/1988	B/Yamagata/16/1988	B/Yamagata/16/1988	1988	1988	2048	Kanegae1990
B/Yamagata/16/1988	B/Yamagata/16/1988	B/Yamagata/16/1988	B/Yamagata/16/1988	1988	1988	640	Nakajima1992
B/Yamagata/16/1988	B/Yamagata/16/1988	B/Yamagata/16/1988	B/Yamagata/16/1988	1988	1988	1280	Nerome1998
B/YM/1988	B/Yamagata/16/1988	B/Yamagata/16/1988	B/Yamagata/16/1988	1988	1988	1280	Rota1990
B/YM/1988	B/Taiwan/7/1988	B/Yamagata/16/1988	B/Taiwan/7/1988	1988	1988	1280	Rota1990
B/YM/1988	B/HongKong/14/1988	B/Yamagata/16/1988	B/HongKong/14/1988	1988	1988	1280	Rota1990
B/YM/1988	B/Singapore/7/1988	B/Yamagata/16/1988	B/Singapore/7/1988	1988	1988	1280	Rota1990
B/Yamagata/16/1988	B/Yamagata/16/1988	B/Yamagata/16/1988	B/Yamagata/16/1988	1988	1988	1280	Hay2001
B/Yamagata/16/1988	B/HongKong/22/1989	B/Yamagata/16/1988	B/HongKong/22/1989	1988	1989	20	Nakajima1992
B/Yamagata/16/1988	B/HongKong/22/1989	B/Yamagata/16/1988	B/HongKong/22/1989	1988	1989	80	Nerome1998
B/Yamagata/16/1988	B/Bangkok/163/1990	B/Yamagata/16/1988	B/Bangkok/163/1990	1988	1990	80	Nerome1998
B/Yamagata/16/1988	B/Panama/45/1990	B/Yamagata/16/1988	B/Panama/45/1990	1988	1990	160	Hay2001
B/Yamagata/16/1988	B/Mie/1/1993	B/Yamagata/16/1988	B/Mie/1/1993	1988	1993	640	Nerome1998
B/Yamagata/16/1988	B/Beijing/184/1993	B/Yamagata/16/1988	B/Beijing/184/1993	1988	1993	320	Nerome1998
B/Yamagata/16/1988	B/Tokushima/101/1993	B/Yamagata/16/1988	B/Tokushima/101/1993	1988	1993	160	Nerome1998
