startYear	endYear	flu	typeA	typeB	subtypeH3	subtypeH1	subtypeH1pdm	subtypeVic	subtypeYam	ili
1998	1999	14	72	28	99	1	0	0	100	2.10
1999	2000	15	99	1	97	3	0	0	100	1.83
2000	2001	11	54	46	3	97	0	0	100	2.05
2001	2002	16	87	13	98	2	0	77	23	1.70
2002	2003	11	56	44	30	70	0	100	0	1.47
2003	2004	19	99	1	100	0	0	7	93	1.98
2004	2005	15	75	25	99	1	0	26	74	1.88
2005	2006	12	80	20	92	8	0	81	19	1.65
2006	2007	13	79	21	38	62	0	77	23	1.63
2007	2008	18	71	29	74	26	0	2	98	1.97
2008	2009	14	66	34	13	87	0	83	17	1.95
