type	lineage	name	year	ag1	ag2
virus	H3N2	A/Wisconsin/67/2005	2005	38.4072	0.4420
virus	H3N2	A/Trieste/25c/2007	2007	40.7500	0.2272
virus	H3N2	A/Wisconsin/3/2007	2007	38.8065	0.1480
virus	H3N2	A/Brisbane/10/2007	2007	38.3811	-0.0370
virus	H3N2	A/Uruguay/716/2007	2007	37.9648	0.3682
virus	H3N2	A/Johannesburg/15/2008	2008	41.0432	1.9083
virus	H3N2	A/England/394/2008	2008	41.3898	1.2855
virus	H3N2	A/Brisbane/24/2008	2008	38.9454	0.2056
virus	H3N2	A/Norway/1/2009	2009	39.3093	1.0983
virus	H3N2	A/England/669/2008	2008	39.3532	1.5366
virus	H3N2	A/Stockholm/26/2008	2008	39.2098	1.0191
virus	H3N2	A/Switzerland/1397477/2008	2008	40.5433	1.9173
virus	H3N2	A/Perth/16/2009	2009	44.8195	-1.1446
virus	H3N2	A/RhodeIsland/1/2010	2010	43.7245	2.4134
virus	H3N2	A/Alabama/5/2010	2010	45.6859	1.7844
virus	H3N2	A/Perth/10/2010	2010	44.6865	1.2565
virus	H3N2	A/Wisconsin/13/2010	2010	44.5068	0.1671
virus	H3N2	A/Florida/43/2010	2010	45.0005	1.5437
virus	H3N2	A/Minnesota/17/2010	2010	43.4156	2.1511
virus	H3N2	A/HongKong/3170/2010	2010	43.5153	-0.4554
virus	H3N2	A/Uvurkhangai/3970/2010	2010	43.4582	1.3047
virus	H3N2	A/Ulaanbaatar/3849/2010	2010	43.5835	1.6919
virus	H3N2	A/HongKong/1/1968	1968	1.2095	-0.7467
virus	H3N2	A/England/42/1972	1972	4.9948	-1.3812
virus	H3N2	A/Victoria/3/1975	1975	9.5306	-0.9176
virus	H3N2	A/Texas/1/1977	1977	11.8596	0.2918
virus	H3N2	A/Bangkok/1/1979	1979	13.3306	0.7011
virus	H3N2	A/Philippines/2/1982	1982	14.1440	0.7401
virus	H3N2	A/Mississippi/1/1985	1985	17.2357	2.1402
virus	H3N2	A/Shanghai/11/1987	1987	17.6333	-1.5721
virus	H3N2	A/Beijing/352/1989	1989	21.2951	1.1427
virus	H3N2	A/Beijing/32/1992	1992	23.3834	-2.5861
virus	H3N2	A/Johannesburg/33/1994	1994	26.9280	-3.4322
virus	H3N2	A/Wuhan/359/1995	1995	27.3515	1.7145
virus	H3N2	A/Sydney/5/1997	1997	32.4341	1.9137
virus	H3N2	A/Canada/578/2004	2004	36.9925	0.1972
virus	H3N2	A/Fujian/411/2002	2002	34.7569	-0.7090
virus	H3N2	A/Taiwan/8/2002	2002	32.9707	0.8255
virus	H3N2	A/Fujian/445/2003	2003	34.3927	0.3909
virus	H3N2	A/Shanghai/369/2003	2003	34.8604	1.8682
virus	H3N2	A/Taiwan/1529/2003	2003	34.9895	0.9534
virus	H3N2	A/Anhui/1238/2005	2005	37.7743	0.0415
virus	H3N2	A/Anhui/1239/2005	2005	38.8612	1.6047
virus	H3N2	A/Taiwan/51/2005	2005	37.6569	-0.5369
virus	H3N2	A/Taiwan/83/2006	2006	38.1495	0.1192
virus	H3N2	A/Taiwan/99/2006	2006	38.1908	0.2251
virus	H3N2	A/Finland/170/2003	2003	34.3976	0.5872
virus	H3N2	A/Sofia/141/2003	2003	32.4757	1.9276
virus	H3N2	A/BadenWuerttemberg/38/2005	2005	36.4207	0.6435
virus	H3N2	A/Lyon/108/2005	2005	38.3384	0.3975
virus	H3N2	A/Lyon/636/2006	2006	38.4309	-1.4776
virus	H3N2	A/Ukraine/13/2006	2006	38.0016	-2.1005
virus	H3N2	A/Romania/802-03/2003	2003	34.7989	-0.9319
virus	H3N2	A/Paris/207/2002	2002	33.2070	1.1278
virus	H3N2	A/Lyon/1324/2006	2006	39.5538	-0.8545
virus	H3N2	A/Lyon/1331/2006	2006	39.1939	-0.4689
virus	H3N2	A/Lyon/1359/2006	2006	40.3210	-0.9641
virus	H3N2	A/Lyon/1292/2006	2006	38.0086	0.3152
virus	H3N2	A/Lyon/1313/2006	2006	39.1425	-0.0251
virus	H3N2	A/Toulon/1244/2006	2006	39.6724	-0.3204
virus	H3N2	A/Gunma/16/2005	2005	35.8601	3.3637
virus	H3N2	A/Ishikawa/102/2002	2002	33.8531	0.6141
virus	H3N2	A/Osaka/56/2004	2004	38.4493	-0.3525
virus	H3N2	A/Auckland/6/2003	2003	34.7110	-0.1569
virus	H3N2	A/ChristChurch/28/2003	2003	34.9774	0.0131
virus	H3N2	A/Wellington/1/2004	2004	36.0648	-0.1148
virus	H3N2	A/Beijing/51/2002	2002	34.7171	0.3165
virus	H3N2	A/Brisbane/5/2002	2002	33.5104	1.0485
virus	H3N2	A/Brisbane/6/2002	2002	32.2792	1.3758
virus	H3N2	A/NewCaledonia/6/2002	2002	32.6986	1.6009
virus	H3N2	A/Brisbane/7/2003	2003	35.0081	-0.9790
virus	H3N2	A/NewCaledonia/20/2003	2003	34.8168	-0.2474
virus	H3N2	A/Townsville/1/2003	2003	34.4816	-0.1424
virus	H3N2	A/Brisbane/3/2005	2005	36.4323	-6.0696e-6
virus	H3N2	A/Brisbane/9/2006	2006	39.1082	1.1545
virus	H3N2	A/NewYork/55/2004	2004	37.0675	0.5392
virus	H3N2	A/Wisconsin/19/2004	2004	36.9281	-0.0189
virus	H3N2	A/Wisconsin/68/2005	2005	38.0599	-0.6544
virus	H3N2	A/Montana/439520/2005	2005	37.4377	0.4032
virus	H3N2	A/Wyoming/2/2003	2003	33.2194	0.7266
virus	H3N2	A/Wyoming/3/2003	2003	34.8165	-0.4582
virus	H3N2	A/NorthDakota/1/2004	2004	36.7231	-0.8671
virus	H3N2	A/Washington/1/2004	2004	37.1034	0.1994
virus	H3N2	A/Wyoming/1/2006	2006	38.4964	-0.7774
virus	H3N2	A/Idaho/2008/2003	2003	34.0610	0.1414
virus	H3N2	A/Wyoming/0049/2005	2005	37.5141	0.6413
virus	H3N2	A/Peru/1296/2004	2004	36.1818	1.5343
virus	H3N2	A/Brazil/1742/2005	2005	37.3016	0.8823
virus	H3N2	A/Nepal/1646/2004	2004	36.6810	-0.6033
virus	H3N2	A/Nepal/921/2006	2006	38.7789	0.1593
virus	H3N2	A/SouthAustralia/102/2001	2001	33.9358	2.1475
virus	H3N2	A/Victoria/102/2003	2003	32.0240	1.0300
virus	H3N2	A/Victoria/110/2004	2004	34.9354	1.3814
virus	H3N2	A/Victoria/500/2004	2004	36.5025	0.4487
virus	H3N2	A/Victoria/523/2004	2004	36.9177	0.4251
virus	H3N2	A/Victoria/503/2006	2006	38.6741	0.1082
virus	H3N2	A/HongKong/2831/2005	2005	38.5397	-0.2940
virus	H3N2	A/HongKong/218/2006	2006	37.9306	-1.0172
virus	H3N2	A/HongKong/1550/2002	2002	32.3025	1.2179
virus	H3N2	A/Daejeon/390/2002	2002	33.4007	-1.8119
virus	H3N2	A/Pusan/504/2002	2002	34.8218	0.3542
virus	H3N2	A/Incheon/677/2006	2006	37.6848	-1.0739
virus	H3N2	A/Cheonnam/432/2002	2002	34.6937	0.3381
virus	H3N2	A/Korea/770/2002	2002	34.5325	0.6652
virus	H3N2	A/Philippines/472/2002	2002	33.7186	0.1154
virus	H3N2	A/Philippines/825/2003	2003	35.3965	-0.0997
virus	H3N2	A/Singapore/95/2003	2003	35.0694	-0.6274
virus	H3N2	A/Malaysia/1/2004	2004	36.3932	0.9579
virus	H3N2	A/Singapore/36/2004	2004	34.9902	1.8285
virus	H3N2	A/Singapore/37/2004	2004	37.0051	0.2809
virus	H3N2	A/Singapore/35/2005	2005	39.1400	1.6907
virus	H3N2	A/Singapore/38/2005	2005	36.9756	2.7104
virus	H3N2	A/Singapore/70/2005	2005	39.1100	-1.0167
virus	H3N2	A/Singapore/57/2006	2006	37.2495	-0.1604
virus	H3N2	A/Guam/228/2002	2002	33.8608	-0.1625
virus	H3N2	A/Philippines/1159050/2002	2002	31.3611	1.4400
virus	H3N2	A/Louisiana/4/2003	2003	34.4102	0.0339
virus	H3N2	A/Mississippi/5/2004	2004	36.7481	1.0451
virus	H3N2	A/Tennessee/6/2004	2004	37.1240	-0.8697
virus	H3N2	A/NorthCarolina/13/2005	2005	38.1971	0.3274
virus	H3N2	A/Florida/2/2006	2006	39.0044	-0.5629
virus	H3N2	A/Kentucky/3/2006	2006	38.8504	0.0682
virus	H3N2	A/Fukuoka/15/2002	2002	30.5570	1.3005
virus	H3N2	A/Kumamoto/102/2002	2002	34.3850	-0.4174
virus	H3N2	A/Hiroshima/39/2004	2004	36.3154	1.5941
virus	H3N2	A/Hiroshima/52/2005	2005	39.1386	1.2791
virus	H3N2	A/Okayama/29/2005	2005	38.2884	-1.3915
virus	H3N2	A/Kitakyushu/5/2006	2006	35.8691	-0.4443
virus	H3N2	A/Texas/40/2003	2003	34.2631	-0.4493
virus	H3N2	A/California/7/2004	2004	36.7466	-0.1429
virus	H3N2	A/Oklahoma/8/2004	2004	35.0834	0.0687
virus	H3N2	A/Texas/6/2004	2004	37.3376	-0.1648
virus	H3N2	A/California/20/2005	2005	38.5701	-0.1840
virus	H3N2	A/Bilthoven/15793/1968	1968	1.5937	-1.3766
virus	H3N2	A/Bilthoven/16190/1968	1968	1.7300	-1.5201
virus	H3N2	A/Bilthoven/16398/1968	1968	2.0966	-0.6504
virus	H3N2	A/Bilthoven/808/1969	1969	3.1892	-2.9361
virus	H3N2	A/Bilthoven/908/1969	1969	1.3280	0.3852
virus	H3N2	A/Bilthoven/17938/1969	1969	0.5590	-1.2717
virus	H3N2	A/Bilthoven/93/1970	1970	1.0717	-2.3491
virus	H3N2	A/Bilthoven/2668/1970	1970	1.9004	-3.6161
virus	H3N2	A/Bilthoven/6449/1971	1971	0.0321	-3.9136
virus	H3N2	A/Bilthoven/21438/1971	1971	1.8555	0.1832
virus	H3N2	A/Bilthoven/21801/1971	1971	2.8259	-1.3996
virus	H3N2	A/HongKong/107/1971	1971	0.8180	0.0372
virus	H3N2	A/Bilthoven/6022/1972	1972	3.6872	0.3848
virus	H3N2	A/Bilthoven/21793/1972	1972	5.4196	0.5797
virus	H3N2	A/Bilthoven/23290/1972	1972	5.5387	0.2751
virus	H3N2	A/Bilthoven/23337/1972	1972	5.3375	0.0062
virus	H3N2	A/Bilthoven/552/1973	1973	5.6115	2.0693
virus	H3N2	A/Bilthoven/748/1973	1973	5.6162	1.6470
virus	H3N2	A/Bilthoven/3517/1973	1973	4.9074	0.8316
virus	H3N2	A/PortChalmers/1/1973	1973	7.3674	-0.1507
virus	H3N2	A/Bilthoven/5146/1974	1974	5.7450	1.8212
virus	H3N2	A/Bilthoven/5930/1974	1974	5.2700	1.3977
virus	H3N2	A/Bilthoven/5931/1974	1974	5.6735	1.3689
virus	H3N2	A/Bilthoven/7398/1974	1974	5.3177	0.8160
virus	H3N2	A/Bilthoven/9459/1974	1974	5.8109	1.6214
virus	H3N2	A/Bilthoven/4273/1975	1975	5.7277	1.2292
virus	H3N2	A/Bilthoven/334/1975	1975	7.9207	-0.4395
