statistic	virus	time	lower	mean	upper
xdrift	H3N2	1968	1.22205	1.55264	1.87057
xdrift	H3N2	1969	0.0714186	0.25858	0.446792
xdrift	H3N2	1970	-0.0509345	0.133018	0.310638
xdrift	H3N2	1971	0.654708	0.850586	1.03494
xdrift	H3N2	1972	1.81264	2.03252	2.24436
xdrift	H3N2	1973	0.719834	0.880729	1.03754
xdrift	H3N2	1974	0.555152	0.707491	0.868667
xdrift	H3N2	1975	0.900497	1.07832	1.25031
xdrift	H3N2	1976	2.41887	2.61127	2.80678
xdrift	H3N2	1977	0.0577463	0.173096	0.297578
xdrift	H3N2	1978	1.74782	2.09045	2.4664
xdrift	H3N2	1979	0.653349	0.919863	1.17894
xdrift	H3N2	1980	-0.204996	0.0160854	0.248883
xdrift	H3N2	1981	0.41944	0.622973	0.828516
xdrift	H3N2	1982	0.0405576	0.224755	0.416174
xdrift	H3N2	1983	-0.0148089	0.261564	0.521369
xdrift	H3N2	1984	0.329347	0.581147	0.844088
xdrift	H3N2	1985	0.297857	0.554339	0.792721
xdrift	H3N2	1986	0.490205	0.678741	0.861682
xdrift	H3N2	1987	1.58365	1.75901	1.93881
xdrift	H3N2	1988	0.772448	0.898188	1.03575
xdrift	H3N2	1989	1.1751	1.29469	1.40533
xdrift	H3N2	1990	0.262294	0.404305	0.554112
xdrift	H3N2	1991	0.218734	0.360643	0.509901
xdrift	H3N2	1992	1.57552	1.68803	1.80542
xdrift	H3N2	1993	3.35341	3.48203	3.60951
xdrift	H3N2	1994	0.847397	0.945131	1.05681
xdrift	H3N2	1995	0.432631	0.538292	0.647198
xdrift	H3N2	1996	-0.0765554	0.0679823	0.201182
xdrift	H3N2	1997	1.62807	1.79019	1.95046
xdrift	H3N2	1998	1.31689	1.49279	1.68141
xdrift	H3N2	1999	0.59502	0.792045	0.982596
xdrift	H3N2	2000	0.108639	0.254778	0.404688
xdrift	H3N2	2001	0.449798	0.626663	0.80584
xdrift	H3N2	2002	0.975448	1.17204	1.3739
xdrift	H3N2	2003	1.16183	1.25758	1.34667
xdrift	H3N2	2004	1.64748	1.74003	1.8345
