type	name	year	ag1	ag2	potency
virus	A/Rotterdam/577/1980	1980.	-6.9832	-3.9938	na
virus	A/ChristChurch/2/1988	1988.	-2.8774	-3.87	na
virus	A/Netherlands/241/1993	1993.	4.7033	3.9962	na
virus	A/HongKong/55/1994	1994.	5.5412	3.2813	na
virus	A/England/7/1994	1994.	7.9809	2.12	na
virus	A/Johannesburg/33/1994	1994.	5.798	6.4639	na
virus	A/Johannesburg/47/1994	1994.	3.3392	6.3114	na
virus	A/Netherlands/1/1995	1995.	5.1528	4.9152	na
virus	A/HongKong/32/1995	1995.	4.6899	3.9348	na
virus	A/Bilthoven/15793/1968	1968.	-15.0344	3.5187	na
virus	A/Bilthoven/16190/1968	1968.	-15.6443	4.3512	na
virus	A/Bilthoven/16398/1968	1968.	-13.8236	3.9902	na
virus	A/HongKong/1/1968	1968.	-15.4266	4.9187	na
virus	A/Bilthoven/808/1969	1969.	-14.7866	2.9006	na
virus	A/Bilthoven/908/1969	1969.	-14.2916	4.5925	na
virus	A/Bilthoven/17938/1969	1969.	-14.5	5.15	na
virus	A/Bilthoven/93/1970	1970.	-14.8388	3.3857	na
virus	A/Bilthoven/2668/1970	1970.	-14.7351	5.6603	na
virus	A/Bilthoven/6449/1971	1971.	-13.6064	7.4097	na
virus	A/Bilthoven/21438/1971	1971.	-12.6025	5.1844	na
virus	A/Bilthoven/21801/1971	1971.	-15.8004	3.9075	na
virus	A/HongKong/107/1971	1971.	-16.7535	1.8582	na
virus	A/Bilthoven/6022/1972	1972.	-14.6817	3.2124	na
virus	A/Bilthoven/21793/1972	1972.	-13.8775	2.2432	na
virus	A/Bilthoven/23290/1972	1972.	-14.8064	1.7561	na
virus	A/Bilthoven/23337/1972	1972.	-14.0315	1.7361	na
virus	A/England/42/1972	1972.	-14.6437	2.941	na
virus	A/Bilthoven/552/1973	1973.	-12.966	0.8634	na
virus	A/Bilthoven/748/1973	1973.	-13.8354	0.9588	na
virus	A/Bilthoven/3517/1973	1973.	-12.6836	1.7044	na
virus	A/PortChalmers/1/1973	1973.	-12.7455	1.4446	na
virus	A/Bilthoven/5146/1974	1974.	-13.8367	0.0606	na
virus	A/Bilthoven/5930/1974	1974.	-13.661	1.8368	na
virus	A/Bilthoven/5931/1974	1974.	-11.2954	2.5188	na
virus	A/Bilthoven/7398/1974	1974.	-14.4473	-0.6409	na
virus	A/Bilthoven/9459/1974	1974.	-12.4934	0.997	na
