type	name	year	ag1	ag2	effect
virus	A/Rotterdam/577/1980	1980.	-7.3544	3.3986	na
virus	A/ChristChurch/2/1988	1988.	-4.2422	2.2046	na
virus	A/Netherlands/241/1993	1993.	6.5456	1.9834	na
virus	A/HongKong/55/1994	1994.	6.5543	0.2947	na
virus	A/England/7/1994	1994.	8.0402	-1.9307	na
virus	A/Johannesburg/33/1994	1994.	8.3694	3.5829	na
virus	A/Johannesburg/47/1994	1994.	7.937	3.9345	na
virus	A/Netherlands/1/1995	1995.	7.1661	2.1162	na
virus	A/HongKong/32/1995	1995.	6.8289	2.229	na
virus	A/Bilthoven/15793/1968	1968.	-15.2107	-1.4019	na
virus	A/Bilthoven/16190/1968	1968.	-13.8742	-5.0978	na
virus	A/Bilthoven/16398/1968	1968.	-14.0897	-3.9896	na
virus	A/HongKong/1/1968	1968.	-15.4146	-4.1429	na
virus	A/Bilthoven/808/1969	1969.	-13.5232	-5.9893	na
virus	A/Bilthoven/908/1969	1969.	-15.5432	-2.4709	na
virus	A/Bilthoven/17938/1969	1969.	-14.1924	-3.135	na
virus	A/Bilthoven/93/1970	1970.	-15.5105	-2.8699	na
virus	A/Bilthoven/2668/1970	1970.	-15.3049	-6.1481	na
virus	A/Bilthoven/6449/1971	1971.	-14.4675	-5.9153	na
virus	A/Bilthoven/21438/1971	1971.	-13.6731	-4.0881	na
virus	A/Bilthoven/21801/1971	1971.	-14.5943	-3.5782	na
virus	A/HongKong/107/1971	1971.	-12.9848	-5.8648	na
virus	A/Bilthoven/6022/1972	1972.	-13.8737	-3.1447	na
virus	A/Bilthoven/21793/1972	1972.	-11.5254	-4.3371	na
virus	A/Bilthoven/23290/1972	1972.	-11.9895	-3.7082	na
virus	A/Bilthoven/23337/1972	1972.	-11.5635	-4.4806	na
virus	A/England/42/1972	1972.	-10.6403	-4.2246	na
virus	A/Bilthoven/552/1973	1973.	-10.5876	-3.5934	na
virus	A/Bilthoven/748/1973	1973.	-13.2184	-2.8953	na
virus	A/Bilthoven/3517/1973	1973.	-12.5122	-3.9598	na
virus	A/PortChalmers/1/1973	1973.	-9.0882	-4.007	na
virus	A/Bilthoven/5146/1974	1974.	-11.1024	-5.5403	na
virus	A/Bilthoven/5930/1974	1974.	-11.1957	-5.0042	na
virus	A/Bilthoven/5931/1974	1974.	-10.5149	-4.8432	na
virus	A/Bilthoven/7398/1974	1974.	-9.9636	-4.6786	na
virus	A/Bilthoven/9459/1974	1974.	-10.8702	-3.6208	na
virus	A/Bilthoven/4273/1975	1975.	-10.3227	-6.328	na
virus	A/Bilthoven/334/1975	1975.	-9.7907	-5.1856	na
virus	A/Bilthoven/1843/1975	1975.	-10.4165	-2.9183	na
virus	A/Bilthoven/2600/1975	1975.	-11.7597	-5.5978	na
virus	A/Bilthoven/2813/1975	1975.	-11.5391	-4.8783	na
virus	A/Victoria/3/1975	1975.	-8.4946	-1.8687	na
virus	A/Bilthoven/5168/1976	1976.	-6.9522	-1.0372	na
virus	A/Bilthoven/628/1976	1976.	-7.1951	1.1066	na
virus	A/Bilthoven/1761/1976	1976.	-8.1943	-0.3938	na
virus	A/Bilthoven/2271/1976	1976.	-7.1647	1.6784	na
virus	A/Bilthoven/5029/1976	1976.	-7.1206	-1.6353	na
virus	A/Bilthoven/5657/1976	1976.	-6.9841	-1.1677	na
virus	A/Bilthoven/6545/1976	1976.	-7.6214	-1.4829	na
virus	A/Amsterdam/1609/1977	1977.	-8.3539	-0.55	na
virus	A/Bilthoven/3895/1977	1977.	-7.8375	-1.3772	na
virus	A/Rotterdam/5828/1977	1977.	-8.849	-1.9919	na
virus	A/Rotterdam/8179/1977	1977.	-8.0522	-1.0929	na
virus	A/Texas/1/1977	1977.	-8.2743	2.7299	na
virus	A/Bangkok/1/1979	1979.	-7.09	6.9542	na
virus	A/Netherlands/209/1980	1980.	-7.177	3.7985	na
virus	A/Lyon/2380/1981	1981.	-6.0039	4.719	na
virus	A/Bilthoven/4791/1981	1981.	-6.1393	3.5288	na
virus	A/Netherlands/233/1982	1982.	-6.648	4.0834	na
virus	A/Netherlands/241/1982	1982.	-7.09	3.7396	na
virus	A/Bilthoven/10684/1982	1982.	-6.3841	2.9527	na
virus	A/Philippines/2/1982	1982.	-6.1311	6.2222	na
virus	A/Oslow/13676/1983	1983.	-7.0839	3.9902	na
virus	A/Caen/1/1984	1984.	-5.9562	2.3071	na
virus	A/Netherlands/330/1985	1985.	-5.1828	3.6016	na
virus	A/Stockholm/10/1985	1985.	-5.0263	3.7497	na
virus	A/Wellington/4/1985	1985.	-4.6627	3.6501	na
virus	A/Netherlands/333/1985	1985.	-5.8433	2.0197	na
virus	A/Guildford/V728/1985	1985.	-2.7192	5.4545	na
virus	A/Colorado/2/1986	1986.	-5.0849	3.971	na
virus	A/Leningrad/360/1986	1986.	-4.7285	6.7329	na
virus	A/Sichuan/2/1987	1987.	-2.9534	6.4264	na
virus	A/Victoria/7/1987	1987.	-2.8321	1.3547	na
virus	A/Shanghai/11/1987	1987.	-1.5178	6.7235	na
virus	A/Netherlands/450/1988	1988.	-1.1515	3.4974	na
virus	A/Victoria/1/1988	1988.	-2.8627	0.9763	na
virus	A/Stockholm/12/1988	1988.	-1.7925	3.2882	na
virus	A/England/427/1988	1988.	-0.5554	3.6901	na
virus	A/Netherlands/620/1989	1989.	-0.6045	3.1085	na
virus	A/England//1989	1989.	-1.9394	4.1911	na
virus	A/Geneva/5007/1989	1989.	-1.2235	3.0939	na
virus	A/Guizhou/54/1989	1989.	-1.3026	6.0351	na
virus	A/HongKong/1/1989	1989.	-1.1622	4.0588	na
virus	A/Netherlands/650/1989	1989.	0.3095	4.1192	na
virus	A/Netherlands/738/1989	1989.	-0.0119	6.1672	na
virus	A/Singapore/35/1989	1989.	-0.006	4.3364	na
virus	A/Singapore/40/1989	1989.	-1.7896	1.5092	na
virus	A/Wellington/5/1989	1989.	-1.8942	6.4989	na
virus	A/Beijing/353/1989	1989.	-1.7072	-1.2335	na
virus	A/Beijing/352/1989	1989.	1.1535	0.2009	na
virus	A/Atlanta/211/1989	1989.	-1.9754	2.59	na
virus	A/Singapore/34/1989	1989.	0.492	3.8876	na
virus	A/Singapore/36/1989	1989.	-0.3443	2.3136	na
virus	A/Singapore/53/1989	1989.	0.1146	4.0298	na
virus	A/Victoria/1/1989	1989.	-1.1223	7.3679	na
virus	A/Victoria/2/1990	1990.	0.105	0.248	na
virus	A/Wellington/3/1990	1990.	0.1347	0.7354	na
virus	A/Memphis/2/1990	1990.	-1.485	4.5472	na
virus	A/Seoul/1/1990	1990.	-0.9797	3.4092	na
virus	A/Memphis/5/1990	1990.	-1.811	2.4699	na
virus	A/Shanghai/24/1990	1990.	2.6657	5.087	na
virus	A/Lyon/1149/1991	1991.	1.0081	-0.7483	na
virus	A/Netherlands/891/1991	1991.	-1.448	0.6257	na
virus	A/Canberra/1/1991	1991.	-1.8131	3.0883	na
virus	A/England/260/1991	1991.	-0.7894	-0.1566	na
virus	A/England/261/1991	1991.	1.3419	-0.0771	na
virus	A/Madrid/G12/1991	1991.	-1.231	-0.5099	na
virus	A/Netherlands/816/1991	1991.	-0.9219	-1.3274	na
virus	A/Geneva/5366/1991	1991.	-0.391	3.5758	na
virus	A/Lyon/1182/1991	1991.	0.6691	-0.7697	na
virus	A/Geneva/6447/1991	1991.	-1.2843	-1.5868	na
virus	A/Lyon/1189/1991	1991.	-0.3627	-0.088	na
virus	A/Lyon/1276/1991	1991.	1.2934	-0.9213	na
virus	A/Lyon/1337/1991	1991.	2.0586	0.1288	na
virus	A/Lyon/1373/1991	1991.	0.5379	-1.1161	na
virus	A/Lyon/1594/1991	1991.	-0.7665	-1.3646	na
virus	A/Lyon/23672/1991	1991.	-0.8155	-1.6754	na
virus	A/Lyon/24103/1991	1991.	-1.1945	-0.6845	na
virus	A/Lyon/24222/1991	1991.	2.1927	1.0413	na
virus	A/Stockholm/20/1991	1991.	-0.5177	-0.8534	na
virus	A/Victoria/33/1992	1992.	-0.0418	0.5078	na
virus	A/Amsterdam/4112/1992	1992.	0.2483	0.4378	na
virus	A/Enschede/1285/1992	1992.	-0.2424	-0.5747	na
virus	A/Finland/220/1992	1992.	0.9153	-1.4369	na
virus	A/Madrid/G58/1992	1992.	0.9735	-0.67	na
virus	A/Nijmegen/3129/1992	1992.	-0.3922	-1.0866	na
virus	A/Netherlands/819/1992	1992.	0.3728	0.0191	na
virus	A/Netherlands/935/1992	1992.	-0.3247	0.5154	na
virus	A/Paris/583/1992	1992.	-1.3787	-0.9108	na
virus	A/Paris/614/1992	1992.	-0.6399	-0.6478	na
virus	A/SouthAustralia/8/1992	1992.	-1.0842	-2.0371	na
virus	A/SouthAustralia/23/1992	1992.	-1.6336	-0.8624	na
virus	A/SouthAustralia/27/1992	1992.	-0.1539	-1.9155	na
virus	A/Stockholm/7/1992	1992.	-2.1563	-0.7443	na
virus	A/Victoria/68/1992	1992.	-1.0016	0.106	na
virus	A/Paris/467/1992	1992.	-1.8534	0.4993	na
virus	A/Tilburg/5957/1992	1992.	-0.2765	0.0863	na
