type	name	year	ag1	ag2	potency
virus	A/Rotterdam/577/1980	1980.	-7.3672	1.5776	na
virus	A/ChristChurch/2/1988	1988.	-4.9305	-0.7725	na
virus	A/Netherlands/241/1993	1993.	5.3776	2.4348	na
virus	A/HongKong/55/1994	1994.	5.8437	0.895	na
virus	A/England/7/1994	1994.	7.7639	-0.9509	na
virus	A/Johannesburg/33/1994	1994.	5.9543	4.5837	na
virus	A/Johannesburg/47/1994	1994.	4.6162	4.2461	na
virus	A/Netherlands/1/1995	1995.	7.0362	2.9031	na
virus	A/HongKong/32/1995	1995.	5.6777	1.4108	na
virus	A/Bilthoven/15793/1968	1968.	-18.2935	-1.457	na
virus	A/Bilthoven/16190/1968	1968.	-17.6771	-0.4413	na
virus	A/Bilthoven/16398/1968	1968.	-17.275	-2.4468	na
virus	A/HongKong/1/1968	1968.	-18.6493	-2.3933	na
virus	A/Bilthoven/808/1969	1969.	-17.2701	-0.6887	na
virus	A/Bilthoven/908/1969	1969.	-17.6359	-1.3156	na
virus	A/Bilthoven/17938/1969	1969.	-18.1398	-1.3908	na
virus	A/Bilthoven/93/1970	1970.	-17.5245	-1.2836	na
virus	A/Bilthoven/2668/1970	1970.	-18.4311	-1.0237	na
virus	A/Bilthoven/6449/1971	1971.	-18.734	0.1097	na
virus	A/Bilthoven/21438/1971	1971.	-16.9978	-2.2221	na
virus	A/Bilthoven/21801/1971	1971.	-17.2659	-0.2418	na
virus	A/HongKong/107/1971	1971.	-18.2994	-1.0332	na
virus	A/Bilthoven/6022/1972	1972.	-16.2207	-0.8929	na
virus	A/Bilthoven/21793/1972	1972.	-15.7677	-0.1073	na
virus	A/Bilthoven/23290/1972	1972.	-15.6242	0.9815	na
virus	A/Bilthoven/23337/1972	1972.	-15.1723	-0.4141	na
virus	A/England/42/1972	1972.	-14.9293	-2.6824	na
virus	A/Bilthoven/552/1973	1973.	-13.5471	-0.9215	na
virus	A/Bilthoven/748/1973	1973.	-15.3344	0.6018	na
virus	A/Bilthoven/3517/1973	1973.	-15.6834	-1.1155	na
virus	A/PortChalmers/1/1973	1973.	-12.1679	-2.9291	na
virus	A/Bilthoven/5146/1974	1974.	-14.7603	0.6033	na
virus	A/Bilthoven/5930/1974	1974.	-15.548	-1.0226	na
virus	A/Bilthoven/5931/1974	1974.	-15.5273	1.4548	na
virus	A/Bilthoven/7398/1974	1974.	-14.9708	0.2102	na
virus	A/Bilthoven/9459/1974	1974.	-14.4008	-0.52	na
virus	A/Bilthoven/4273/1975	1975.	-13.9122	-2.7946	na
virus	A/Bilthoven/334/1975	1975.	-14.8895	0.8009	na
virus	A/Bilthoven/1843/1975	1975.	-14.2026	1.0313	na
virus	A/Bilthoven/2600/1975	1975.	-13.9228	-2.8886	na
virus	A/Bilthoven/2813/1975	1975.	-15.5407	1.3689	na
virus	A/Victoria/3/1975	1975.	-10.7179	-1.9859	na
virus	A/Bilthoven/5168/1976	1976.	-11.9334	0.7019	na
virus	A/Bilthoven/628/1976	1976.	-8.8289	0.4538	na
virus	A/Bilthoven/1761/1976	1976.	-9.9193	-1.698	na
virus	A/Bilthoven/2271/1976	1976.	-8.2471	0.1642	na
virus	A/Bilthoven/5029/1976	1976.	-9.7991	-2.346	na
virus	A/Bilthoven/5657/1976	1976.	-9.7314	-2.1303	na
virus	A/Bilthoven/6545/1976	1976.	-9.38	-1.3624	na
virus	A/Amsterdam/1609/1977	1977.	-10.2321	-1.8492	na
virus	A/Bilthoven/3895/1977	1977.	-9.8469	-1.9507	na
virus	A/Rotterdam/5828/1977	1977.	-11.4347	-2.4532	na
virus	A/Rotterdam/8179/1977	1977.	-10.5228	-1.715	na
virus	A/Texas/1/1977	1977.	-9.8808	2.0822	na
virus	A/Bangkok/1/1979	1979.	-7.2906	4.4582	na
virus	A/Netherlands/209/1980	1980.	-7.1903	1.8027	na
virus	A/Lyon/2380/1981	1981.	-6.033	3.4034	na
virus	A/Bilthoven/4791/1981	1981.	-7.4718	1.2729	na
virus	A/Netherlands/233/1982	1982.	-7.1262	1.1887	na
virus	A/Netherlands/241/1982	1982.	-6.7209	2.0468	na
virus	A/Bilthoven/10684/1982	1982.	-6.7741	1.961	na
virus	A/Philippines/2/1982	1982.	-6.9382	4.6132	na
virus	A/Oslow/13676/1983	1983.	-6.1473	2.9082	na
virus	A/Caen/1/1984	1984.	-6.2118	0.3594	na
virus	A/Netherlands/330/1985	1985.	-6.1111	0.3727	na
virus	A/Stockholm/10/1985	1985.	-5.0213	0.892	na
virus	A/Wellington/4/1985	1985.	-4.738	0.5498	na
virus	A/Netherlands/333/1985	1985.	-3.9823	1.4445	na
virus	A/Guildford/V728/1985	1985.	-5.0876	-0.6705	na
virus	A/Colorado/2/1986	1986.	-5.3536	0.7596	na
virus	A/Leningrad/360/1986	1986.	-3.2942	4.0323	na
virus	A/Sichuan/2/1987	1987.	-2.7864	3.9083	na
virus	A/Victoria/7/1987	1987.	-4.0667	-2.5606	na
virus	A/Shanghai/11/1987	1987.	-1.0898	2.3186	na
virus	A/Netherlands/450/1988	1988.	-2.5708	-0.4461	na
virus	A/Victoria/1/1988	1988.	-4.7806	-1.4152	na
virus	A/Stockholm/12/1988	1988.	-2.444	-0.067	na
virus	A/England/427/1988	1988.	-3.4675	2.2412	na
virus	A/Netherlands/620/1989	1989.	-1.359	0.0597	na
virus	A/England//1989	1989.	-1.5492	1.2869	na
virus	A/Geneva/5007/1989	1989.	-2.1444	0.7973	na
virus	A/Guizhou/54/1989	1989.	-0.4618	2.7335	na
virus	A/HongKong/1/1989	1989.	-1.8117	0.8551	na
virus	A/Netherlands/650/1989	1989.	-1.3092	1.4828	na
virus	A/Netherlands/738/1989	1989.	-0.5634	2.4095	na
virus	A/Singapore/35/1989	1989.	-0.9521	1.8049	na
virus	A/Singapore/40/1989	1989.	-0.4388	0.9774	na
virus	A/Wellington/5/1989	1989.	-0.3377	1.0067	na
virus	A/Beijing/353/1989	1989.	-0.85	4.1106	na
virus	A/Beijing/352/1989	1989.	1.5603	-1.472	na
virus	A/Atlanta/211/1989	1989.	-1.3296	-0.3599	na
virus	A/Singapore/34/1989	1989.	-0.9965	1.3942	na
virus	A/Singapore/36/1989	1989.	0.3847	-0.2927	na
virus	A/Singapore/53/1989	1989.	-1.5583	-0.2436	na
virus	A/Victoria/1/1989	1989.	-3.5183	4.2805	na
virus	A/Victoria/2/1990	1990.	0.403	-2.0271	na
virus	A/Wellington/3/1990	1990.	0.7149	-2.5168	na
virus	A/Memphis/2/1990	1990.	-2.7198	0.4416	na
