type	name	year	ag1	ag2	effect
virus	A/Rotterdam/577/1980	1980.	-7.5046	-2.6104	12.9049
virus	A/ChristChurch/2/1988	1988.	-4.4589	-2.4216	10.8823
virus	A/Netherlands/241/1993	1993.	6.118	4.0594	12.3882
virus	A/HongKong/55/1994	1994.	6.6946	3.1087	12.4941
virus	A/England/7/1994	1994.	9.0821	2.7325	11.515
virus	A/Johannesburg/33/1994	1994.	6.2443	4.284	10.9052
virus	A/Johannesburg/47/1994	1994.	7.1756	4.6723	10.9619
virus	A/Netherlands/1/1995	1995.	6.6456	4.1348	11.9382
virus	A/HongKong/32/1995	1995.	5.552	3.5486	12.4716
virus	A/Bilthoven/15793/1968	1968.	-17.2216	-2.354	10.9029
virus	A/Bilthoven/16190/1968	1968.	-17.3332	1.6738	11.2262
virus	A/Bilthoven/16398/1968	1968.	-18.6798	0.0528	11.6369
virus	A/HongKong/1/1968	1968.	-19.9868	3.6069	12.0594
virus	A/Bilthoven/808/1969	1969.	-17.0715	-3.3959	11.0632
virus	A/Bilthoven/908/1969	1969.	-17.8409	2.6512	11.5689
virus	A/Bilthoven/17938/1969	1969.	-17.374	4.2831	11.077
virus	A/Bilthoven/93/1970	1970.	-18.018	2.8715	11.4173
virus	A/Bilthoven/2668/1970	1970.	-17.7341	-1.5166	10.9197
virus	A/Bilthoven/6449/1971	1971.	-17.7791	-2.1258	10.651
virus	A/Bilthoven/21438/1971	1971.	-18.2742	-0.5451	11.3224
virus	A/Bilthoven/21801/1971	1971.	-18.0975	2.0668	11.4394
virus	A/HongKong/107/1971	1971.	-17.614	3.4823	13.3606
virus	A/Bilthoven/6022/1972	1972.	-16.5575	-0.3705	11.4241
virus	A/Bilthoven/21793/1972	1972.	-14.9821	1.5978	11.1822
virus	A/Bilthoven/23290/1972	1972.	-13.8705	3.1266	10.8249
virus	A/Bilthoven/23337/1972	1972.	-14.1999	2.6462	10.8079
virus	A/England/42/1972	1972.	-16.3665	0.3457	11.4817
virus	A/Bilthoven/552/1973	1973.	-13.4707	1.8015	11.4371
virus	A/Bilthoven/748/1973	1973.	-14.6371	4.1903	10.6515
virus	A/Bilthoven/3517/1973	1973.	-14.225	3.7412	10.9356
virus	A/PortChalmers/1/1973	1973.	-13.7155	-2.2929	10.4987
virus	A/Bilthoven/5146/1974	1974.	-14.0944	3.0357	10.2913
virus	A/Bilthoven/5930/1974	1974.	-13.919	3.3579	10.9691
virus	A/Bilthoven/5931/1974	1974.	-14.0967	-1.9674	9.559
virus	A/Bilthoven/7398/1974	1974.	-13.838	0.2759	10.2747
virus	A/Bilthoven/9459/1974	1974.	-13.7753	1.2443	10.4452
virus	A/Bilthoven/4273/1975	1975.	-13.8466	3.591	10.4297
virus	A/Bilthoven/334/1975	1975.	-14.8808	0.7499	9.214
virus	A/Bilthoven/1843/1975	1975.	-13.138	3.4286	10.9223
virus	A/Bilthoven/2600/1975	1975.	-14.5925	1.6916	11.14
virus	A/Bilthoven/2813/1975	1975.	-13.9335	3.8616	11.2744
virus	A/Victoria/3/1975	1975.	-12.213	-1.4382	11.7865
virus	A/Bilthoven/5168/1976	1976.	-11.7619	-0.9748	10.532
virus	A/Bilthoven/628/1976	1976.	-9.3433	-2.2372	11.9695
virus	A/Bilthoven/1761/1976	1976.	-11.764	-3.8636	11.9754
virus	A/Bilthoven/2271/1976	1976.	-9.2066	0.2137	12.7932
virus	A/Bilthoven/5029/1976	1976.	-12.0255	-3.5546	11.5242
virus	A/Bilthoven/5657/1976	1976.	-11.2563	-3.1653	11.6734
virus	A/Bilthoven/6545/1976	1976.	-11.0876	-2.8452	12.1703
virus	A/Amsterdam/1609/1977	1977.	-11.7756	-2.0264	12.3373
virus	A/Bilthoven/3895/1977	1977.	-11.4	-3.4814	12.438
virus	A/Rotterdam/5828/1977	1977.	-13.0788	-3.0927	12.6781
virus	A/Rotterdam/8179/1977	1977.	-13.0812	-3.7266	13.2668
virus	A/Texas/1/1977	1977.	-9.2642	-2.0587	11.6077
virus	A/Bangkok/1/1979	1979.	-6.9084	-1.1897	9.0254
virus	A/Netherlands/209/1980	1980.	-7.6283	-2.1409	12.8386
virus	A/Lyon/2380/1981	1981.	-6.3444	-0.2346	13.7163
virus	A/Bilthoven/4791/1981	1981.	-5.9641	0.4197	11.9684
virus	A/Netherlands/233/1982	1982.	-7.3974	-3.0381	11.6877
virus	A/Netherlands/241/1982	1982.	-7.0016	-2.9848	11.6993
virus	A/Bilthoven/10684/1982	1982.	-6.623	-0.3483	12.307
virus	A/Philippines/2/1982	1982.	-5.8972	-3.3169	10.4242
virus	A/Oslow/13676/1983	1983.	-6.7039	-0.849	12.7161
virus	A/Caen/1/1984	1984.	-5.0376	1.1764	10.8015
virus	A/Netherlands/330/1985	1985.	-5.8471	-3.0267	10.853
virus	A/Stockholm/10/1985	1985.	-5.6247	-3.8936	12.3615
virus	A/Wellington/4/1985	1985.	-4.5046	-2.074	11.7521
virus	A/Netherlands/333/1985	1985.	-5.2127	3.1706	11.3139
virus	A/Guildford/V728/1985	1985.	-3.9357	-2.7005	10.9862
virus	A/Colorado/2/1986	1986.	-5.2663	-3.2668	12.3522
virus	A/Leningrad/360/1986	1986.	-4.7085	-2.3458	8.855
virus	A/Sichuan/2/1987	1987.	-2.9923	2.0699	10.5862
virus	A/Victoria/7/1987	1987.	-2.352	-3.0122	11.229
virus	A/Shanghai/11/1987	1987.	-2.3612	0.5178	7.9063
virus	A/Netherlands/450/1988	1988.	-2.0455	0.8557	12.2377
virus	A/Victoria/1/1988	1988.	-2.7762	-3.2477	10.7781
virus	A/Stockholm/12/1988	1988.	-2.1292	1.1218	12.9153
virus	A/England/427/1988	1988.	-2.5361	1.6953	11.3636
virus	A/Netherlands/620/1989	1989.	-1.8883	1.45	11.5551
virus	A/England//1989	1989.	-1.1151	2.3281	12.108
virus	A/Geneva/5007/1989	1989.	-2.4154	0.7738	12.5375
virus	A/Guizhou/54/1989	1989.	-2.584	5.3052	11.3753
virus	A/HongKong/1/1989	1989.	-2.3869	0.9025	12.5797
virus	A/Netherlands/650/1989	1989.	-0.8431	3.2668	11.6831
virus	A/Netherlands/738/1989	1989.	-1.6183	3.6446	11.1068
virus	A/Singapore/35/1989	1989.	-1.4016	1.1366	11.6369
virus	A/Singapore/40/1989	1989.	-0.0166	0.5603	11.7481
virus	A/Wellington/5/1989	1989.	-2.5018	1.503	11.0555
virus	A/Beijing/353/1989	1989.	0.0532	-1.5666	8.5248
virus	A/Beijing/352/1989	1989.	1.8006	-0.6445	10.3553
virus	A/Atlanta/211/1989	1989.	-0.0839	-1.7247	11.5678
virus	A/Singapore/34/1989	1989.	-0.3742	1.2395	11.3174
virus	A/Singapore/36/1989	1989.	-0.15	1.0172	11.1309
virus	A/Singapore/53/1989	1989.	-0.6353	1.5667	11.3031
virus	A/Victoria/1/1989	1989.	-1.9146	3.5673	10.8842
virus	A/Victoria/2/1990	1990.	0.7105	-1.193	11.0406
virus	A/Wellington/3/1990	1990.	0.7174	-2.4382	11.1258
virus	A/Memphis/2/1990	1990.	-1.7035	3.1677	12.2494
virus	A/Seoul/1/1990	1990.	-1.593	1.7162	12.6134
virus	A/Memphis/5/1990	1990.	-0.2056	0.2972	11.558
virus	A/Shanghai/24/1990	1990.	0.7053	2.5907	11.5567
virus	A/Lyon/1149/1991	1991.	2.4941	-2.7276	12.755
virus	A/Netherlands/891/1991	1991.	0.6265	-1.9283	11.1829
virus	A/Canberra/1/1991	1991.	-2.2878	0.3348	12.2076
virus	A/England/260/1991	1991.	0.3891	-3.4567	11.4286
virus	A/England/261/1991	1991.	2.2828	-0.1668	10.9192
