type	name	year	ag1	ag2	effect
virus	A/Rotterdam/577/1980	1980.	12.4019	1.5176	na
virus	A/ChristChurch/2/1988	1988.	14.8466	-0.8241	na
virus	A/Netherlands/241/1993	1993.	25.1437	2.4187	na
virus	A/HongKong/55/1994	1994.	25.615	0.8805	na
virus	A/England/7/1994	1994.	27.5416	-0.9587	na
virus	A/Johannesburg/33/1994	1994.	25.7129	4.5696	na
virus	A/Johannesburg/47/1994	1994.	24.376	4.2274	na
virus	A/Netherlands/1/1995	1995.	26.8006	2.8927	na
virus	A/HongKong/32/1995	1995.	25.4473	1.3958	na
virus	A/Bilthoven/15793/1968	1968.	1.4861	-1.5546	na
virus	A/Bilthoven/16190/1968	1968.	2.099	-0.5368	na
virus	A/Bilthoven/16398/1968	1968.	2.508	-2.5409	na
virus	A/HongKong/1/1968	1968.	1.1335	-2.4922	na
virus	A/Bilthoven/808/1969	1969.	2.5068	-0.7828	na
virus	A/Bilthoven/908/1969	1969.	2.1432	-1.411	na
virus	A/Bilthoven/17938/1969	1969.	1.6395	-1.4879	na
virus	A/Bilthoven/93/1970	1970.	2.2545	-1.3785	na
virus	A/Bilthoven/2668/1970	1970.	1.347	-1.1218	na
virus	A/Bilthoven/6449/1971	1971.	1.0402	0.0105	na
virus	A/Bilthoven/21438/1971	1971.	2.7845	-2.3152	na
virus	A/Bilthoven/21801/1971	1971.	2.5095	-0.3359	na
virus	A/HongKong/107/1971	1971.	1.4788	-1.1309	na
virus	A/Bilthoven/6022/1972	1972.	3.5569	-0.9834	na
virus	A/Bilthoven/21793/1972	1972.	4.0072	-0.1962	na
virus	A/Bilthoven/23290/1972	1972.	4.147	0.893	na
virus	A/Bilthoven/23337/1972	1972.	4.6037	-0.501	na
virus	A/England/42/1972	1972.	4.8545	-2.7685	na
virus	A/Bilthoven/552/1973	1973.	6.2306	-1.0028	na
virus	A/Bilthoven/748/1973	1973.	4.4381	0.5143	na
virus	A/Bilthoven/3517/1973	1973.	4.0951	-1.2041	na
virus	A/PortChalmers/1/1973	1973.	7.6168	-3.0056	na
virus	A/Bilthoven/5146/1974	1974.	5.0122	0.5179	na
virus	A/Bilthoven/5930/1974	1974.	4.2301	-1.1108	na
virus	A/Bilthoven/5931/1974	1974.	4.2423	1.3667	na
virus	A/Bilthoven/7398/1974	1974.	4.803	0.1241	na
virus	A/Bilthoven/9459/1974	1974.	5.3755	-0.6042	na
virus	A/Bilthoven/4273/1975	1975.	5.872	-2.8771	na
virus	A/Bilthoven/334/1975	1975.	4.8823	0.715	na
virus	A/Bilthoven/1843/1975	1975.	5.5684	0.9478	na
virus	A/Bilthoven/2600/1975	1975.	5.8617	-2.9711	na
virus	A/Bilthoven/2813/1975	1975.	4.2292	1.2808	na
virus	A/Victoria/3/1975	1975.	9.0634	-2.0574	na
virus	A/Bilthoven/5168/1976	1976.	7.8387	0.6262	na
virus	A/Bilthoven/628/1976	1976.	10.9441	0.3888	na
virus	A/Bilthoven/1761/1976	1976.	9.861	-1.7668	na
virus	A/Bilthoven/2271/1976	1976.	11.5268	0.1012	na
virus	A/Bilthoven/5029/1976	1976.	9.9835	-2.4143	na
virus	A/Bilthoven/5657/1976	1976.	10.0505	-2.1984	na
virus	A/Bilthoven/6545/1976	1976.	10.3993	-1.4293	na
virus	A/Amsterdam/1609/1977	1977.	9.5488	-1.919	na
virus	A/Bilthoven/3895/1977	1977.	9.9343	-2.0192	na
virus	A/Rotterdam/5828/1977	1977.	8.3483	-2.5272	na
virus	A/Rotterdam/8179/1977	1977.	9.2577	-1.7859	na
virus	A/Texas/1/1977	1977.	9.8865	2.0135	na
virus	A/Bangkok/1/1979	1979.	12.4686	4.3985	na
virus	A/Netherlands/209/1980	1980.	12.578	1.7433	na
virus	A/Lyon/2380/1981	1981.	13.7298	3.3479	na
virus	A/Bilthoven/4791/1981	1981.	12.2984	1.2126	na
virus	A/Netherlands/233/1982	1982.	12.6442	1.1295	na
virus	A/Netherlands/241/1982	1982.	13.0465	1.989	na
virus	A/Bilthoven/10684/1982	1982.	12.9937	1.903	na
virus	A/Philippines/2/1982	1982.	12.8205	4.5547	na
virus	A/Oslow/13676/1983	1983.	13.6172	2.8524	na
virus	A/Caen/1/1984	1984.	13.5615	0.3034	na
virus	A/Netherlands/330/1985	1985.	13.6621	0.3171	na
virus	A/Stockholm/10/1985	1985.	14.7501	0.8401	na
virus	A/Wellington/4/1985	1985.	15.0346	0.4989	na
virus	A/Netherlands/333/1985	1985.	15.7873	1.3961	na
virus	A/Guildford/V728/1985	1985.	14.6892	-0.7226	na
virus	A/Colorado/2/1986	1986.	14.4183	0.7066	na
virus	A/Leningrad/360/1986	1986.	16.4664	3.9863	na
virus	A/Sichuan/2/1987	1987.	16.9746	3.8641	na
virus	A/Victoria/7/1987	1987.	15.7166	-2.6092	na
virus	A/Shanghai/11/1987	1987.	18.6766	2.2802	na
virus	A/Netherlands/450/1988	1988.	17.2052	-0.4896	na
virus	A/Victoria/1/1988	1988.	14.9987	-1.4663	na
virus	A/Stockholm/12/1988	1988.	17.3307	-0.1101	na
virus	A/England/427/1988	1988.	16.2993	2.1946	na
virus	A/Netherlands/620/1989	1989.	18.4153	0.0204	na
virus	A/England//1989	1989.	18.2208	1.2469	na
virus	A/Geneva/5007/1989	1989.	17.6273	0.7553	na
virus	A/Guizhou/54/1989	1989.	19.3032	2.6972	na
virus	A/HongKong/1/1989	1989.	17.9598	0.8142	na
virus	A/Netherlands/650/1989	1989.	18.4602	1.4437	na
virus	A/Netherlands/738/1989	1989.	19.2028	2.373	na
virus	A/Singapore/35/1989	1989.	18.8162	1.767	na
virus	A/Singapore/40/1989	1989.	19.3323	0.9412	na
virus	A/Wellington/5/1989	1989.	19.4333	0.9709	na
virus	A/Beijing/353/1989	1989.	18.9103	4.0731	na
virus	A/Beijing/352/1989	1989.	21.3398	-1.5013	na
virus	A/Atlanta/211/1989	1989.	18.4461	-0.3991	na
virus	A/Singapore/34/1989	1989.	18.7732	1.3561	na
virus	A/Singapore/36/1989	1989.	20.1602	-0.326	na
virus	A/Singapore/53/1989	1989.	18.217	-0.2836	na
virus	A/Victoria/1/1989	1989.	16.2414	4.2338	na
virus	A/Victoria/2/1990	1990.	20.1845	-2.0603	na
virus	A/Wellington/3/1990	1990.	20.498	-2.549	na
virus	A/Memphis/2/1990	1990.	17.0531	0.3976	na
virus	A/Seoul/1/1990	1990.	17.386	0.9718	na
virus	A/Memphis/5/1990	1990.	18.3137	-0.6404	na
virus	A/Shanghai/24/1990	1990.	20.3512	4.1227	na
virus	A/Lyon/1149/1991	1991.	21.1982	-2.6514	na
virus	A/Netherlands/891/1991	1991.	20.1764	-2.8278	na
virus	A/Canberra/1/1991	1991.	18.1509	0.4399	na
virus	A/England/260/1991	1991.	20.0535	-2.5165	na
virus	A/England/261/1991	1991.	22.1636	0.2216	na
virus	A/Madrid/G12/1991	1991.	19.652	-2.7389	na
virus	A/Netherlands/816/1991	1991.	19.6889	-2.6301	na
virus	A/Geneva/5366/1991	1991.	18.1289	1.5052	na
virus	A/Lyon/1182/1991	1991.	21.4462	-1.853	na
virus	A/Geneva/6447/1991	1991.	20.4459	-3.1738	na
virus	A/Lyon/1189/1991	1991.	20.8543	-1.0036	na
virus	A/Lyon/1276/1991	1991.	22.0381	-1.5215	na
virus	A/Lyon/1337/1991	1991.	21.5291	-2.4172	na
virus	A/Lyon/1373/1991	1991.	20.9546	-2.1289	na
virus	A/Lyon/1594/1991	1991.	19.7705	-2.9129	na
virus	A/Lyon/23672/1991	1991.	20.669	-2.9528	na
virus	A/Lyon/24103/1991	1991.	20.299	-2.3038	na
virus	A/Lyon/24222/1991	1991.	20.8818	-1.2298	na
virus	A/Stockholm/20/1991	1991.	19.6953	-3.0809	na
virus	A/Victoria/33/1992	1992.	20.3572	-1.4806	na
virus	A/Amsterdam/4112/1992	1992.	20.1895	-2.1305	na
virus	A/Enschede/1285/1992	1992.	19.4145	-3.1112	na
virus	A/Finland/220/1992	1992.	21.3258	-2.7525	na
virus	A/Madrid/G58/1992	1992.	20.5667	-1.6412	na
virus	A/Nijmegen/3129/1992	1992.	19.9216	-1.7617	na
virus	A/Netherlands/819/1992	1992.	20.9537	-1.468	na
virus	A/Netherlands/935/1992	1992.	19.8863	-1.2769	na
