type	name	year	ag1	ag2	effect
virus	A/Rotterdam/577/1980	1980.	17.2894	3.8104	12.9049
virus	A/ChristChurch/2/1988	1988.	19.9751	2.3617	10.8823
virus	A/Netherlands/241/1993	1993.	32.3794	2.2767	12.3882
virus	A/HongKong/55/1994	1994.	32.3667	1.1649	12.4941
virus	A/England/7/1994	1994.	34.1951	-0.4158	11.515
virus	A/Johannesburg/33/1994	1994.	32.6053	2.4007	10.9052
virus	A/Johannesburg/47/1994	1994.	33.6012	2.2384	10.9619
virus	A/Netherlands/1/1995	1995.	32.8672	2.0621	11.9382
virus	A/HongKong/32/1995	1995.	31.6289	2.142	12.4716
virus	A/Bilthoven/15793/1968	1968.	9.1745	9.1616	10.9029
virus	A/Bilthoven/16190/1968	1968.	11.2076	12.6403	11.2262
virus	A/Bilthoven/16398/1968	1968.	9.2079	11.9755	11.6369
virus	A/HongKong/1/1968	1968.	9.9758	15.6836	12.0594
virus	A/Bilthoven/808/1969	1969.	8.7515	8.1977	11.0632
virus	A/Bilthoven/908/1969	1969.	11.2929	13.7384	11.5689
virus	A/Bilthoven/17938/1969	1969.	12.5515	14.8774	11.077
virus	A/Bilthoven/93/1970	1970.	11.259	14.0191	11.4173
virus	A/Bilthoven/2668/1970	1970.	9.1818	10.1433	10.9197
virus	A/Bilthoven/6449/1971	1971.	8.8217	9.6499	10.651
virus	A/Bilthoven/21438/1971	1971.	9.2364	11.2535	11.3224
virus	A/Bilthoven/21801/1971	1971.	10.7663	13.3778	11.4394
virus	A/HongKong/107/1971	1971.	11.9246	14.3242	13.3606
virus	A/Bilthoven/6022/1972	1972.	10.7862	10.4949	11.4241
virus	A/Bilthoven/21793/1972	1972.	13.1637	11.3337	11.1822
virus	A/Bilthoven/23290/1972	1972.	14.9152	12.0445	10.8249
virus	A/Bilthoven/23337/1972	1972.	14.3817	11.8106	10.8079
virus	A/England/42/1972	1972.	11.3268	11.002	11.4817
virus	A/Bilthoven/552/1973	1973.	14.5546	10.7082	11.4371
virus	A/Bilthoven/748/1973	1973.	14.8262	13.3527	10.6515
virus	A/Bilthoven/3517/1973	1973.	14.9389	12.7537	10.9356
virus	A/PortChalmers/1/1973	1973.	12.1837	7.3612	10.4987
virus	A/Bilthoven/5146/1974	1974.	14.677	12.0857	10.2913
virus	A/Bilthoven/5930/1974	1974.	14.9962	12.2665	10.9691
virus	A/Bilthoven/5931/1974	1974.	12.032	7.8389	9.559
virus	A/Bilthoven/7398/1974	1974.	13.4368	9.607	10.2747
