type	name	year	ag1	ag2	effect
virus	A/Rotterdam/577/1980	1980.	15.7141	-6.4358	na
virus	A/ChristChurch/2/1988	1988.	19.0274	-6.071	na
virus	A/Netherlands/241/1993	1993.	28.7175	-1.3245	na
virus	A/HongKong/55/1994	1994.	29.4989	-2.8215	na
virus	A/England/7/1994	1994.	31.8394	-4.1187	na
virus	A/Johannesburg/33/1994	1994.	29.6056	0.9329	na
virus	A/Johannesburg/47/1994	1994.	29.0601	1.0473	na
virus	A/Netherlands/1/1995	1995.	29.2081	-0.9221	na
virus	A/HongKong/32/1995	1995.	28.8567	-0.9764	na
virus	A/Bilthoven/15793/1968	1968.	10.9307	-14.3025	na
virus	A/Bilthoven/16190/1968	1968.	13.8122	-16.9752	na
virus	A/Bilthoven/16398/1968	1968.	13.1128	-16.0889	na
virus	A/HongKong/1/1968	1968.	12.0054	-16.8323	na
virus	A/Bilthoven/808/1969	1969.	14.5326	-17.6068	na
virus	A/Bilthoven/908/1969	1969.	11.125	-15.4051	na
virus	A/Bilthoven/17938/1969	1969.	12.6299	-15.3764	na
virus	A/Bilthoven/93/1970	1970.	11.3369	-15.7447	na
virus	A/Bilthoven/2668/1970	1970.	13.0218	-18.5643	na
virus	A/Bilthoven/6449/1971	1971.	13.6594	-17.9737	na
virus	A/Bilthoven/21438/1971	1971.	13.5282	-15.9856	na
virus	A/Bilthoven/21801/1971	1971.	12.4759	-15.9545	na
virus	A/HongKong/107/1971	1971.	14.9542	-17.2493	na
virus	A/Bilthoven/6022/1972	1972.	12.9177	-15.239	na
virus	A/Bilthoven/21793/1972	1972.	15.5513	-15.2228	na
virus	A/Bilthoven/23290/1972	1972.	14.8506	-14.8765	na
virus	A/Bilthoven/23337/1972	1972.	15.5833	-15.3678	na
virus	A/England/42/1972	1972.	16.2865	-14.7172	na
virus	A/Bilthoven/552/1973	1973.	16.0441	-14.132	na
virus	A/Bilthoven/748/1973	1973.	13.3859	-14.717	na
virus	A/Bilthoven/3517/1973	1973.	14.5013	-15.3396	na
virus	A/PortChalmers/1/1973	1973.	17.5663	-13.8126	na
virus	A/Bilthoven/5146/1974	1974.	16.4786	-16.0985	na
virus	A/Bilthoven/5930/1974	1974.	16.15	-15.6647	na
virus	A/Bilthoven/5931/1974	1974.	16.6813	-15.2096	na
virus	A/Bilthoven/7398/1974	1974.	17.096	-14.8107	na
virus	A/Bilthoven/9459/1974	1974.	15.8055	-14.2859	na
virus	A/Bilthoven/4273/1975	1975.	17.5325	-16.4413	na
virus	A/Bilthoven/334/1975	1975.	17.482	-15.1821	na
virus	A/Bilthoven/1843/1975	1975.	15.8868	-13.4536	na
virus	A/Bilthoven/2600/1975	1975.	15.9207	-16.4507	na
virus	A/Bilthoven/2813/1975	1975.	15.7871	-15.7101	na
virus	A/Victoria/3/1975	1975.	17.1142	-11.64	na
virus	A/Bilthoven/5168/1976	1976.	18.1041	-10.1941	na
virus	A/Bilthoven/628/1976	1976.	16.9059	-8.4	na
virus	A/Bilthoven/1761/1976	1976.	16.7053	-10.1915	na
virus	A/Bilthoven/2271/1976	1976.	16.6709	-7.8779	na
