type	name	year	ag1	ag2	effect
virus	A/Rotterdam/577/1980	1980.	23.2608	-14.8565	na
virus	A/ChristChurch/2/1988	1988.	26.3896	-12.195	na
virus	A/Netherlands/241/1993	1993.	27.3953	-1.3169	na
virus	A/HongKong/55/1994	1994.	28.4963	-1.3517	na
virus	A/England/7/1994	1994.	31.1267	-0.7346	na
virus	A/Johannesburg/33/1994	1994.	26.7086	1.2939	na
virus	A/Johannesburg/47/1994	1994.	24.8839	-0.3611	na
virus	A/Netherlands/1/1995	1995.	27.1722	-0.3185	na
virus	A/HongKong/32/1995	1995.	27.4232	-1.3732	na
virus	A/Bilthoven/15793/1968	1968.	12.2808	-14.0195	na
virus	A/Bilthoven/16190/1968	1968.	11.2845	-13.7504	na
virus	A/Bilthoven/16398/1968	1968.	12.9318	-12.895	na
virus	A/HongKong/1/1968	1968.	11.1	-13.1713	na
virus	A/Bilthoven/808/1969	1969.	12.8604	-14.3473	na
virus	A/Bilthoven/908/1969	1969.	12.19	-12.717	na
virus	A/Bilthoven/17938/1969	1969.	11.6791	-12.4119	na
virus	A/Bilthoven/93/1970	1970.	12.5166	-14.0012	na
virus	A/Bilthoven/2668/1970	1970.	11.1767	-12.1602	na
virus	A/Bilthoven/6449/1971	1971.	10.9652	-10.089	na
virus	A/Bilthoven/21438/1971	1971.	13.1393	-11.1997	na
virus	A/Bilthoven/21801/1971	1971.	11.4398	-14.1944	na
virus	A/HongKong/107/1971	1971.	11.9757	-16.3901	na
virus	A/Bilthoven/6022/1972	1972.	12.7475	-14.0384	na
virus	A/Bilthoven/21793/1972	1972.	13.981	-14.2929	na
virus	A/Bilthoven/23290/1972	1972.	13.5599	-15.2535	na
virus	A/Bilthoven/23337/1972	1972.	14.1775	-14.785	na
virus	A/England/42/1972	1972.	12.9468	-14.2265	na
virus	A/Bilthoven/552/1973	1973.	15.5547	-14.8009	na
virus	A/Bilthoven/748/1973	1973.	14.8162	-15.2695	na
virus	A/Bilthoven/3517/1973	1973.	15.2499	-13.9678	na
virus	A/PortChalmers/1/1973	1973.	15.3638	-14.2093	na
virus	A/Bilthoven/5146/1974	1974.	15.3763	-15.9716	na
virus	A/Bilthoven/5930/1974	1974.	14.404	-14.4749	na
virus	A/Bilthoven/5931/1974	1974.	15.8252	-12.4646	na
virus	A/Bilthoven/7398/1974	1974.	15.3377	-16.9009	na
virus	A/Bilthoven/9459/1974	1974.	15.8403	-14.4014	na
virus	A/Bilthoven/4273/1975	1975.	15.5802	-16.4506	na
virus	A/Bilthoven/334/1975	1975.	15.4131	-15.8193	na
virus	A/Bilthoven/1843/1975	1975.	14.752	-16.0604	na
virus	A/Bilthoven/2600/1975	1975.	15.3706	-15.8857	na
virus	A/Bilthoven/2813/1975	1975.	14.1116	-15.5933	na
virus	A/Victoria/3/1975	1975.	18.0872	-13.4746	na
virus	A/Bilthoven/5168/1976	1976.	18.0992	-12.9912	na
virus	A/Bilthoven/628/1976	1976.	20.6232	-14.2934	na
virus	A/Bilthoven/1761/1976	1976.	18.7424	-11.966	na
virus	A/Bilthoven/2271/1976	1976.	19.9019	-13.7116	na
virus	A/Bilthoven/5029/1976	1976.	19.5183	-11.0495	na
virus	A/Bilthoven/5657/1976	1976.	18.8828	-12.0885	na
virus	A/Bilthoven/6545/1976	1976.	19.0804	-11.9391	na
virus	A/Amsterdam/1609/1977	1977.	18.2202	-12.9467	na
virus	A/Bilthoven/3895/1977	1977.	18.6632	-12.2389	na
virus	A/Rotterdam/5828/1977	1977.	17.6681	-12.8601	na
virus	A/Rotterdam/8179/1977	1977.	18.3748	-12.2517	na
virus	A/Texas/1/1977	1977.	22.2605	-16.5427	na
virus	A/Bangkok/1/1979	1979.	24.0651	-17.2454	na
virus	A/Netherlands/209/1980	1980.	22.7924	-14.4333	na
virus	A/Lyon/2380/1981	1981.	23.8695	-14.1078	na
virus	A/Bilthoven/4791/1981	1981.	22.9687	-13.4395	na
virus	A/Netherlands/233/1982	1982.	23.1457	-14.2356	na
virus	A/Netherlands/241/1982	1982.	23.1279	-14.0886	na
virus	A/Bilthoven/10684/1982	1982.	23.2613	-14.3828	na
virus	A/Philippines/2/1982	1982.	25.2266	-15.5341	na
virus	A/Oslow/13676/1983	1983.	24.4104	-14.0141	na
virus	A/Caen/1/1984	1984.	22.904	-11.8293	na
virus	A/Netherlands/330/1985	1985.	23.8053	-12.814	na
virus	A/Stockholm/10/1985	1985.	23.5608	-12.2912	na
virus	A/Wellington/4/1985	1985.	23.9155	-11.831	na
virus	A/Netherlands/333/1985	1985.	22.7557	-11.4683	na
virus	A/Guildford/V728/1985	1985.	25.353	-11.9667	na
virus	A/Colorado/2/1986	1986.	24.5238	-13.3653	na
virus	A/Leningrad/360/1986	1986.	26.9244	-13.7795	na
virus	A/Sichuan/2/1987	1987.	21.8013	-8.6636	na
virus	A/Victoria/7/1987	1987.	27.0275	-10.3275	na
virus	A/Shanghai/11/1987	1987.	23.0597	-7.8645	na
virus	A/Netherlands/450/1988	1988.	25.4596	-9.1756	na
virus	A/Victoria/1/1988	1988.	27.6704	-10.5333	na
virus	A/Stockholm/12/1988	1988.	23.8146	-9.9717	na
virus	A/England/427/1988	1988.	25.4325	-9.2981	na
virus	A/Netherlands/620/1989	1989.	24.6053	-8.6734	na
virus	A/England//1989	1989.	24.5113	-9.4565	na
virus	A/Geneva/5007/1989	1989.	25.0123	-8.7675	na
virus	A/Guizhou/54/1989	1989.	23.2619	-7.08	na
virus	A/HongKong/1/1989	1989.	25.2179	-9.6472	na
virus	A/Netherlands/650/1989	1989.	23.2793	-8.1796	na
virus	A/Netherlands/738/1989	1989.	21.268	-8.7836	na
virus	A/Singapore/35/1989	1989.	24.6662	-9.0009	na
virus	A/Singapore/40/1989	1989.	26.3992	-9.1237	na
virus	A/Wellington/5/1989	1989.	22.4449	-8.3501	na
virus	A/Beijing/353/1989	1989.	29.2527	-10.0521	na
virus	A/Beijing/352/1989	1989.	27.494	-6.7023	na
virus	A/Atlanta/211/1989	1989.	25.7952	-9.3448	na
virus	A/Singapore/34/1989	1989.	27.2098	-8.5665	na
virus	A/Singapore/36/1989	1989.	24.8216	-6.9761	na
virus	A/Singapore/53/1989	1989.	26.8704	-9.7629	na
virus	A/Victoria/1/1989	1989.	21.1207	-9.1604	na
virus	A/Victoria/2/1990	1990.	28.9161	-9.0441	na
virus	A/Wellington/3/1990	1990.	28.8827	-8.0066	na
virus	A/Memphis/2/1990	1990.	23.8808	-8.8234	na
virus	A/Seoul/1/1990	1990.	24.2152	-8.9131	na
virus	A/Memphis/5/1990	1990.	26.8996	-11.3776	na
virus	A/Shanghai/24/1990	1990.	24.4048	-5.8838	na
virus	A/Lyon/1149/1991	1991.	28.8797	-6.8226	na
virus	A/Netherlands/891/1991	1991.	28.2127	-8.8996	na
virus	A/Canberra/1/1991	1991.	25.3353	-10.4485	na
virus	A/England/260/1991	1991.	27.9558	-9.5553	na
virus	A/England/261/1991	1991.	28.5333	-6.1632	na
virus	A/Madrid/G12/1991	1991.	28.1116	-9.0214	na
virus	A/Netherlands/816/1991	1991.	28.2771	-9.4027	na
virus	A/Geneva/5366/1991	1991.	24.5332	-8.2726	na
virus	A/Lyon/1182/1991	1991.	29.0582	-7.6091	na
virus	A/Geneva/6447/1991	1991.	29.8175	-8.3673	na
virus	A/Lyon/1189/1991	1991.	28.919	-8.7632	na
virus	A/Lyon/1276/1991	1991.	30.0273	-6.8544	na
virus	A/Lyon/1337/1991	1991.	27.6541	-6.9498	na
virus	A/Lyon/1373/1991	1991.	29.3213	-8.565	na
virus	A/Lyon/1594/1991	1991.	29.3566	-9.1925	na
virus	A/Lyon/23672/1991	1991.	30.2693	-10.0989	na
virus	A/Lyon/24103/1991	1991.	28.577	-9.8868	na
virus	A/Lyon/24222/1991	1991.	28.9485	-7.9103	na
virus	A/Stockholm/20/1991	1991.	28.7572	-8.7758	na
virus	A/Victoria/33/1992	1992.	27.091	-8.6355	na
virus	A/Amsterdam/4112/1992	1992.	28.5272	-8.5346	na
virus	A/Enschede/1285/1992	1992.	29.0199	-9.5521	na
virus	A/Finland/220/1992	1992.	29.7131	-8.2661	na
virus	A/Madrid/G58/1992	1992.	29.6189	-8.524	na
virus	A/Nijmegen/3129/1992	1992.	28.6716	-8.9053	na
virus	A/Netherlands/819/1992	1992.	28.594	-8.2088	na
virus	A/Netherlands/935/1992	1992.	28.3531	-8.9927	na
virus	A/Paris/583/1992	1992.	29.1396	-10.3512	na
virus	A/Paris/614/1992	1992.	28.8309	-9.5151	na
virus	A/SouthAustralia/8/1992	1992.	30.3264	-10.1158	na
virus	A/SouthAustralia/23/1992	1992.	30.1095	-10.1928	na
virus	A/SouthAustralia/27/1992	1992.	30.6227	-7.9841	na
virus	A/Stockholm/7/1992	1992.	29.4383	-10.7072	na
virus	A/Victoria/68/1992	1992.	28.2132	-8.3757	na
