strain	accession	type	subtype	year	database
A/Akita/4/1993	EPI_ISL_115040	A	H3N2	1993	GISAID
A/Alabama/5/2010	EPI_ISL_81372	A	H3N2	2010	GISAID
A/Alaska/5/2010	EPI_ISL_88045	A	H3N2	2010	GISAID
A/Algeria/G202/2009	EPI_ISL_61769	A	H3N2	2008	GISAID
A/Amsterdam/1609/1977	EPI_ISL_114017	A	H3N2	1977	GISAID
A/Anhui/1238/2005	EPI_ISL_17358	A	H3N2	2005	GISAID
A/Anhui/1239/2005	EPI_ISL_17359	A	H3N2	2005	GISAID
A/Atlanta/211/1989	EPI_ISL_114345	A	H3N2	1989	GISAID
A/Atlanta/3572/1988	EPI_ISL_114295	A	H3N2	1988	GISAID
A/Auckland/10/1997	EPI_ISL_115568	A	H3N2	1997	GISAID
A/Auckland/4382/1982	CY116571	A	H3N2	1982	IRD
A/Auckland/6/2003	EU501205	A	H3N2	2003	IRD
A/BadenWuerttemberg/38/2005	EPI_ISL_64611	A	H3N2	2005	GISAID
A/Bangkok/1/1979	EPI_ISL_115698	A	H3N2	1979	GISAID
A/Bangladesh/5071/2011	EPI_ISL_99069	A	H3N2	2011	GISAID
A/Beijing/32/1992	EPI_ISL_114610	A	H3N2	1992	GISAID
A/Beijing/352/1989	EPI_ISL_110905	A	H3N2	1989	GISAID
A/Beijing/353/1989	EPI_ISL_115769	A	H3N2	1989	GISAID
A/Beijing/51/2002	EPI_ISL_18407	A	H3N2	2002	GISAID
A/Bilthoven/10684/1982	EPI_ISL_114200	A	H3N2	1982	GISAID
A/Bilthoven/15793/1968	EPI_ISL_110734	A	H3N2	1968	GISAID
A/Bilthoven/16190/1968	AY661039	A	H3N2	1968	IRD
A/Bilthoven/16398/1968	EPI_ISL_110745	A	H3N2	1968	GISAID
A/Bilthoven/1761/1976	EPI_ISL_84896	A	H3N2	1976	GISAID
A/Bilthoven/17938/1969	EPI_ISL_113035	A	H3N2	1969	GISAID
A/Bilthoven/1843/1975	EPI_ISL_113965	A	H3N2	1975	GISAID
A/Bilthoven/21438/1971	EPI_ISL_113036	A	H3N2	1971	GISAID
A/Bilthoven/21793/1972	EPI_ISL_84900	A	H3N2	1972	GISAID
A/Bilthoven/21801/1971	EPI_ISL_113037	A	H3N2	1971	GISAID
A/Bilthoven/2271/1976	AY661007	A	H3N2	1976	IRD
A/Bilthoven/23290/1972	EPI_ISL_113847	A	H3N2	1972	GISAID
A/Bilthoven/23337/1972	EPI_ISL_110819	A	H3N2	1972	GISAID
A/Bilthoven/2600/1975	EPI_ISL_113966	A	H3N2	1975	GISAID
A/Bilthoven/2668/1970	EPI_ISL_110777	A	H3N2	1970	GISAID
A/Bilthoven/2813/1975	EPI_ISL_113967	A	H3N2	1975	GISAID
A/Bilthoven/334/1975	EPI_ISL_113921	A	H3N2	1975	GISAID
A/Bilthoven/3517/1973	EPI_ISL_113915	A	H3N2	1973	GISAID
A/Bilthoven/3895/1977	EPI_ISL_114018	A	H3N2	1977	GISAID
A/Bilthoven/4273/1975	EPI_ISL_110822	A	H3N2	1975	GISAID
A/Bilthoven/4791/1981	EPI_ISL_110862	A	H3N2	1981	GISAID
A/Bilthoven/5029/1976	EPI_ISL_114014	A	H3N2	1976	GISAID
A/Bilthoven/5146/1974	CY112329	A	H3N2	1974	IRD
A/Bilthoven/5168/1976	CY116575	A	H3N2	1976	IRD
A/Bilthoven/552/1973	EPI_ISL_113864	A	H3N2	1973	GISAID
A/Bilthoven/5657/1976	EPI_ISL_114015	A	H3N2	1976	GISAID
A/Bilthoven/5930/1974	EPI_ISL_113917	A	H3N2	1974	GISAID
A/Bilthoven/5931/1974	EPI_ISL_113918	A	H3N2	1974	GISAID
A/Bilthoven/6022/1972	EPI_ISL_110780	A	H3N2	1972	GISAID
A/Bilthoven/6449/1971	EPI_ISL_110778	A	H3N2	1971	GISAID
A/Bilthoven/6545/1976	EPI_ISL_114016	A	H3N2	1976	GISAID
A/Bilthoven/7398/1974	EPI_ISL_113919	A	H3N2	1974	GISAID
A/Bilthoven/748/1973	EPI_ISL_110820	A	H3N2	1973	GISAID
A/Bilthoven/808/1969	EPI_ISL_110747	A	H3N2	1969	GISAID
A/Bilthoven/908/1969	EPI_ISL_113017	A	H3N2	1969	GISAID
A/Bilthoven/93/1970	CY112265	A	H3N2	1970	IRD
A/Bilthoven/9459/1974	EPI_ISL_113920	A	H3N2	1974	GISAID
A/Bratislava/31/2011	EPI_ISL_99869	A	H3N2	2011	GISAID
A/Brazil/1742/2005	EPI_ISL_17364	A	H3N2	2005	GISAID
A/Brisbane/10/2007	EPI_ISL_110723	A	H3N2	2007	GISAID
A/Brisbane/11/2010	EPI_ISL_78688	A	H3N2	2010	GISAID
A/Brisbane/24/2008	EPI_ISL_23848	A	H3N2	2008	GISAID
A/Brisbane/3/2005	EF566225	A	H3N2	2005	IRD
A/Brisbane/5/2002	EU501129	A	H3N2	2002	IRD
A/Brisbane/6/2002	EU501130	A	H3N2	2002	IRD
A/Brisbane/7/2003	EU501209	A	H3N2	2003	IRD
A/Brisbane/8/1996	EPI_ISL_115771	A	H3N2	1996	GISAID
A/Brisbane/9/2006	CY121568	A	H3N2	2006	IRD
A/Caen/1/1984	EPI_ISL_901	A	H3N2	1984	GISAID
A/California/20/2005	EF473440	A	H3N2	2005	IRD
A/California/7/2004	EPI_ISL_113070	A	H3N2	2004	GISAID
A/Cameroon/675/2009	EPI_ISL_77111	A	H3N2	2009	GISAID
A/Canada/578/2004	EPI_ISL_21872	A	H3N2	2004	GISAID
A/Cheonnam/432/2002	AY589653	A	H3N2	2002	IRD
A/ChristChurch/2/1988	AF008905	A	H3N2	1988	IRD
A/ChristChurch/28/2003	EPI_ISL_11942	A	H3N2	2003	GISAID
A/Colorado/2/1986	EPI_ISL_114293	A	H3N2	1986	GISAID
A/Daejeon/390/2002	EPI_ISL_3928	A	H3N2	2002	GISAID
A/Durban/92/2011	EPI_ISL_96032	A	H3N2	2011	GISAID
A/Eindhoven/3447/1989	EPI_ISL_110906	A	H3N2	1989	GISAID
A/England/138/1989	EPI_ISL_114346	A	H3N2	1989	GISAID
A/England/392/2008	CY088444	A	H3N2	2008	IRD
A/England/394/2008	CY088445	A	H3N2	2008	IRD
A/England/42/1972	CY121157	A	H3N2	1972	IRD
A/England/427/1988	EPI_ISL_114296	A	H3N2	1988	GISAID
A/England/669/2008	EPI_ISL_61706	A	H3N2	2008	GISAID
A/England/687/2008	EPI_ISL_61707	A	H3N2	2008	GISAID
A/England/7/1994	EPI_ISL_111129	A	H3N2	1994	GISAID
A/Finland/170/2003	EPI_ISL_115625	A	H3N2	2003	GISAID
A/Finland/338/1995	EPI_ISL_115459	A	H3N2	1995	GISAID
A/Finland/339/1995	EPI_ISL_115460	A	H3N2	1995	GISAID
A/Finland/381/1995	EPI_ISL_115461	A	H3N2	1995	GISAID
A/Finland/9/2008	EPI_ISL_60842	A	H3N2	2008	GISAID
A/Florida/2/2006	EPI_ISL_75939	A	H3N2	2006	GISAID
A/Florida/43/2010	EPI_ISL_87876	A	H3N2	2010	GISAID
A/Fujian/411/2002	EPI_ISL_111384	A	H3N2	2002	GISAID
A/Fujian/445/2003	CY121448	A	H3N2	2003	IRD
A/Fukuoka/15/2002	EPI_ISL_67628	A	H3N2	2002	GISAID
A/Geneva/3958/1996	EPI_ISL_115513	A	H3N2	1996	GISAID
A/Geneva/5007/1989	EPI_ISL_110907	A	H3N2	1989	GISAID
A/Geneva/AI9509/1995	AY661182	A	H3N2	1995	IRD
A/Guadeloupe/202/2010	EPI_ISL_88048	A	H3N2	2010	GISAID
A/Guam/228/2002	EPI_ISL_18392	A	H3N2	2002	GISAID
A/Guangdong/25/1993	EPI_ISL_115110	A	H3N2	1993	GISAID
A/Guildford/V728/1985	EPI_ISL_114246	A	H3N2	1985	GISAID
A/Guizhou/54/1989	EPI_ISL_702	A	H3N2	1989	GISAID
A/Gunma/16/2005	EPI_ISL_17404	A	H3N2	2005	GISAID
A/Hiroshima/39/2004	EPI_ISL_17186	A	H3N2	2004	GISAID
A/Hiroshima/52/2005	EPI_ISL_13228	A	H3N2	2005	GISAID
A/HongKong/107/1971	EPI_ISL_110779	A	H3N2	1971	GISAID
A/HongKong/1/1968	AF348179	A	H3N2	1968	IRD
A/HongKong/1/1989	EPI_ISL_110908	A	H3N2	1989	GISAID
A/HongKong/1/1994	EPI_ISL_111130	A	H3N2	1994	GISAID
A/HongKong/1/1997	EPI_ISL_111271	A	H3N2	1997	GISAID
A/HongKong/1550/2002	EU514627	A	H3N2	2002	IRD
A/HongKong/1952/2009	EPI_ISL_60839	A	H3N2	2009	GISAID
A/HongKong/1985/2009	EPI_ISL_60840	A	H3N2	2009	GISAID
